company_id,metric_type,period_years,value_pct
HDFCBANK,Profit CAGR,3,26.0
HDFCBANK,Profit CAGR,5,23.0
HDFCBANK,Profit CAGR,10,22.0
HDFCBANK,ROE,3,17.0
HDFCBANK,ROE,5,17.0
HDFCBANK,ROE,10,17.0
HDFCBANK,Sales CAGR,3,30.0
HDFCBANK,Sales CAGR,5,22.0
HDFCBANK,Sales CAGR,10,21.0
HDFCBANK,Stock Price CAGR,1,13.0
HDFCBANK,Stock Price CAGR,3,8.0
HDFCBANK,Stock Price CAGR,5,8.0
HDFCBANK,Stock Price CAGR,10,15.0
INFY,Profit CAGR,3,10.0
INFY,Profit CAGR,5,11.0
INFY,Profit CAGR,10,9.0
INFY,ROE,3,31.0
INFY,ROE,5,29.0
INFY,ROE,10,27.0
INFY,Sales CAGR,3,5.0
INFY,Sales CAGR,5,13.0
INFY,Sales CAGR,10,12.0
INFY,Stock Price CAGR,1,27.0
INFY,Stock Price CAGR,3,4.0
INFY,Stock Price CAGR,5,22.0
INFY,Stock Price CAGR,10,15.0
SBILIFE,Profit CAGR,3,9.0
SBILIFE,Profit CAGR,5,6.0
SBILIFE,Profit CAGR,10,9.0
SBILIFE,ROE,3,13.0
SBILIFE,ROE,5,14.0
SBILIFE,ROE,10,16.0
SBILIFE,Sales CAGR,3,17.0
SBILIFE,Sales CAGR,5,24.0
SBILIFE,Sales CAGR,10,23.0
SBILIFE,Stock Price CAGR,1,-2.0
SBILIFE,Stock Price CAGR,3,7.0
SBILIFE,Stock Price CAGR,5,8.0
SBILIFE,Stock Price CAGR,10,9.0
TCS,Profit CAGR,3,12.0
TCS,Profit CAGR,5,8.0
TCS,Profit CAGR,10,9.0
TCS,ROE,3,47.0
TCS,ROE,5,44.0
TCS,ROE,10,40.0
TCS,Sales CAGR,3,14.0
TCS,Sales CAGR,5,10.0
TCS,Sales CAGR,10,11.0
TCS,Stock Price CAGR,1,16.0
TCS,Stock Price CAGR,3,8.0
TCS,Stock Price CAGR,5,16.0
TCS,Stock Price CAGR,10,14.0
