company_id,year,free_cash_flow,cfo_quality_period,cfo_quality_5yr_avg,cfo_quality_label,capex_intensity_pct,capex_intensity_label,fcf_conversion,cfo_sign,cfi_sign,cff_sign,pattern_label
ABB,Dec 2012,42.0,0.7,0.7,Moderate,3.57,Moderate,0.21,+,-,-,Reinvestor
ABB,Mar 2014,11.0,0.78,0.74,Moderate,6.33,Moderate,0.04,+,-,-,Reinvestor
ABB,Mar 2015,28.0,0.94,0.81,Moderate,8.17,Capital Intensive,0.09,+,-,-,Reinvestor
ABB,Mar 2016,172.0,0.98,0.85,Moderate,2.95,Asset Light,0.47,+,-,-,Reinvestor
ABB,Mar 2017,152.0,1.11,0.9,Moderate,5.34,Moderate,0.38,+,-,-,Reinvestor
ABB,Mar 2018,-62.0,0.38,0.84,Moderate,6.52,Moderate,-0.12,+,-,-,Reinvestor
ABB,Mar 2019,242.0,1.11,0.9,Moderate,6.99,Moderate,0.4,+,-,-,Reinvestor
ABB,Mar 2020,225.0,1.06,0.93,Moderate,9.8,Capital Intensive,0.3,+,-,-,Reinvestor
ABB,Mar 2021,655.0,1.05,0.94,Moderate,1.67,Asset Light,0.71,+,-,-,Reinvestor
ABB,Mar 2022,552.0,1.19,0.96,Moderate,8.06,Capital Intensive,0.51,+,-,-,Reinvestor
ABB,Mar 2023,745.0,0.94,1.07,High,2.77,Asset Light,0.62,+,-,-,Shareholder Returns
ABB,Mar 2024,797.0,1.01,1.05,High,7.11,Moderate,0.55,+,-,-,Shareholder Returns
ADANIENSOL,Mar 2014,0.0,,,,,,,-,-,-,Pre-Revenue
ADANIENSOL,Mar 2015,-1899.0,,,,1422.9,Capital Intensive,-18.8,-,-,+,Growth Funded by Debt
ADANIENSOL,Mar 2016,728.0,4.2,4.2,High,37.19,Capital Intensive,0.38,+,-,-,Shareholder Returns
ADANIENSOL,Mar 2017,459.0,5.26,4.73,High,60.15,Capital Intensive,0.23,+,-,-,Shareholder Returns
ADANIENSOL,Mar 2018,-994.0,1.92,3.79,High,80.93,Capital Intensive,-0.35,+,-,+,Mixed
ADANIENSOL,Mar 2019,-459.0,4.64,4.0,High,41.75,Capital Intensive,-0.17,+,-,+,Mixed
ADANIENSOL,Mar 2020,-206.0,7.7,4.74,High,49.43,Capital Intensive,-0.05,+,-,+,Mixed
ADANIENSOL,Mar 2021,-225.0,2.93,4.49,High,40.39,Capital Intensive,-0.06,+,-,-,Shareholder Returns
ADANIENSOL,Mar 2022,161.0,3.31,4.1,High,34.96,Capital Intensive,0.04,+,-,-,Shareholder Returns
ADANIENSOL,Mar 2023,-922.0,2.95,4.31,High,35.35,Capital Intensive,-0.2,+,-,+,Mixed
ADANIENSOL,Mar 2024,1095.0,5.05,4.39,High,29.76,Capital Intensive,0.19,+,-,-,Shareholder Returns
ADANIENT,Mar 2013,-7124.0,6.29,6.29,High,31.89,Capital Intensive,-1.18,+,-,+,Mixed
ADANIENT,Mar 2014,221.0,3.11,4.7,High,14.57,Capital Intensive,0.02,+,-,-,Shareholder Returns
ADANIENT,Mar 2015,-2933.0,3.71,4.37,High,17.78,Capital Intensive,-0.24,+,-,+,Mixed
ADANIENT,Mar 2016,3287.0,5.11,4.55,High,5.37,Moderate,1.95,+,-,-,Shareholder Returns
ADANIENT,Mar 2017,-686.0,0.84,3.81,High,4.0,Moderate,-0.36,+,-,+,Mixed
ADANIENT,Mar 2018,-4707.0,4.95,3.54,High,21.29,Capital Intensive,-2.31,+,-,+,Mixed
ADANIENT,Mar 2019,5723.0,6.4,4.2,High,6.16,Moderate,2.91,+,+,-,Liquidating Assets
ADANIENT,Mar 2020,1372.0,2.36,3.93,High,2.49,Asset Light,0.6,+,-,-,Shareholder Returns
ADANIENT,Mar 2021,-4568.0,3.87,3.68,High,21.78,Capital Intensive,-1.82,+,-,+,Mixed
ADANIENT,Mar 2022,-15656.0,1.76,3.87,High,24.55,Capital Intensive,-4.22,+,-,+,Mixed
