id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,return_on_assets_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score,created_at,sector,sub_sector,index_weight_pct,sales,interest,net_profit,price_date,close_price,pe,pb,dividend_yield,icr_label,year_int,prev_de,de_declining_yoy,sales_3y_ago,revenue_cagr_3yr,fcf_cagr_5yr,cfo_pat_ratio,fcf_positive,roe_score,roce_score,npm_score,fcf_cagr_score,cfo_pat_score,fcf_flag_score,rev_cagr_score,pat_cagr_score,de_score,icr_score,overall_rank
571,ICICIGI,Mar 2024,9.37,87.42,15.72,146.32,3.03,0.0,160.03,0.32,486.0,1921.0,39.0,247.57,28.0,35.0,2407.0,12.91,12.84,11.14,61.71,2026-08-15 07:01:10,Financials,General Insurance,3.51,20487.0,112.0,1919.0,2024-03-01,2023.26,51.88,8.17,0.54,Strong,2024.0,0.0,False,12161.0,18.99,32.28,1.2543,1.0,31.52874621760295,100.0,24.14862768898779,100.0,78.11017913678728,100.0,9.408689970597834,8.147155198093536,100.0,100.0,12
722,LICI,Mar 2024,4.84,3.87,49.45,39.61,0.77,0.0,371.94,0.16,853.0,25269.0,66.0,130.83,15.0,0.0,26122.0,8.16,73.18,,55.53,2026-08-15 07:01:10,Financials,Life Insurance,2.18,845966.0,128.0,40916.0,2024-03-01,259.83,3.94,1.99,3.81,Strong,2024.0,0.0,False,690914.0,6.98,-48.22,0.6384,1.0,100.0,25.746294621111964,8.874502663699506,1.5615769872865044,70.3041548479986,100.0,0.0,98.01906464104856,100.0,100.0,20
558,ICICIBANK,Mar 2024,28.89,62.41,17.99,5.22,1.95,6.45,1.3,0.07,12547.0,144737.0,63.0,364.62,16.0,1651008.0,157284.0,17.25,51.95,55.18,52.8,2026-08-15 07:01:10,Financials,Private Banks,3.87,159516.0,76522.0,46081.0,2024-03-01,6944.27,110.23,19.05,0.15,Risky,2024.0,6.53,True,89163.0,21.4,-7.36,3.4132,1.0,46.46099197474015,1.8161575394892495,89.96560793040662,54.03364581995634,100.0,100.0,44.85462267232928,66.39857015192138,24.171173289442745,0.15752297908351776,23
660,ITC,Mar 2024,29.28,37.02,27.85,35.07,22.62,0.0,362.96,0.77,18742.0,1563.0,16.0,59.7,84.0,303.0,17179.0,7.95,10.08,9.86,50.86,2026-08-15 07:01:10,Consumer Staples,Diversified FMCG,1.39,70866.0,80.0,20751.0,2024-03-01,10035.18,627.2,168.09,0.13,Strong,2024.0,0.0,False,49257.0,12.89,21.64,0.8279,1.0,32.654761284948194,18.99235552738939,100.0,71.1328125,0.0,100.0,8.71559633027523,25.17225539733578,100.0,100.0,28
182,BAJFINANCE,Mar 2024,26.29,29.29,18.84,4.35,3.85,3.82,2689.17,0.15,-79931.0,7171.0,233.0,1237.03,15.0,293346.0,-72760.0,24.35,29.32,27.56,47.93,2026-08-15 07:01:10,Financials,Consumer Finance,1.78,54972.0,6.0,14451.0,2024-03-01,2069.28,8.88,1.67,1.69,Strong,2024.0,3.99,True,26673.0,27.26,,-5.0349,0.0,52.05236153137745,1.2107716929928327,81.19900195562748,54.03364581995634,0.0,0.0,100.0,32.69288054810843,55.09052433576299,100.00000000000001,37
286,CANBK,Mar 2024,13.94,41.75,16.72,3.16,1.0,14.87,1.61,0.07,13296.0,1750.0,17.0,101.58,19.0,1369780.0,15046.0,18.18,85.78,53.42,45.92,2026-08-15 07:01:10,Financials,Public Sector Banks,2.96,110519.0,28646.0,15401.0,2024-03-01,1926.96,113.35,18.97,0.17,Watch,2024.0,15.85,True,70253.0,16.3,-5.34,0.9769,1.0,38.10682804894092,0.3827151903138267,39.55762357542652,56.62771285475793,74.59436303399465,100.0,52.45017967984316,100.0,0.0,0.2441047583670116,40
956,SBILIFE,Mar 2024,1.43,0.19,12.7,1.65,0.48,0.0,240.33,0.33,-2099.0,31221.0,19.0,148.93,14.0,0.0,29122.0,24.23,7.37,7.89,44.85,2026-08-15 07:01:10,Financials,Life Insurance,3.16,131988.0,9.0,1894.0,2024-03-01,5864.47,308.66,39.38,0.05,Strong,2024.0,0.0,False,81913.0,17.24,,15.3759,0.0,11.662939086962238,0.0,0.0,54.03364581995634,100.0,0.0,100.0,0.0,100.0,100.0,43
494,HDFCBANK,Mar 2024,23.07,61.41,14.34,4.89,1.62,6.81,1.4,0.07,35669.0,16600.0,84.0,600.52,23.0,3107503.0,19069.0,21.95,23.87,15.42,43.04,2026-08-15 07:01:10,Financials,Private Banks,1.06,283649.0,124346.0,65446.0,2024-03-01,4213.19,50.16,7.02,0.46,Risky,2024.0,7.39,True,128552.0,30.19,,0.2914,1.0,22.45099329035653,1.5865284253009533,70.34189763301637,54.03364581995634,65.90621617579586,100.0,83.24077098987254,24.575513851653263,19.93886668234188,0.18545258530399958,47
158,BAJAJFINSV,Mar 2024,14.13,37.04,25.85,11.71,2.9,4.79,2.2,0.21,-79634.0,10960.0,51.0,379.42,2.0,288933.0,-68674.0,20.97,23.75,20.59,42.48,2026-08-15 07:01:10,Financials,Diversified Financials,2.12,110382.0,18607.0,15595.0,2024-03-01,5547.62,108.78,14.62,0.02,Healthy,2024.0,4.57,False,60592.0,22.13,,-4.4036,0.0,98.1647151690567,6.332196785192403,40.198260165891156,54.03364581995634,6.400965265156413,0.0,75.2368507023848,24.396782841823057,43.68680931107454,0.4088894350678547,49
715,KOTAKBANK,Mar 2024,32.39,83.67,14.01,7.23,2.37,4.0,1.24,0.07,6766.0,8919.0,92.0,653.78,2.0,520374.0,15685.0,13.52,20.38,19.34,42.46,2026-08-15 07:01:10,Financials,Private Banks,3.47,56237.0,38037.0,18213.0,2024-03-01,1879.75,20.43,2.88,0.1,Risky,2024.0,3.75,False,32820.0,19.66,,0.8612,1.0,20.280226286014997,3.2148075986361433,100.0,54.03364581995634,73.12796100409882,100.0,14.390721986278978,19.377420315758116,52.97437103221256,0.14076521535122863,50
904,PNB,Mar 2024,8.4,,61.32,,12.65,3.68,,1.51,-29445.0,1506.0,8.0,114.87,18.0,55017.0,-27939.0,15.9,,,39.12,2026-08-15 07:01:10,Financials,Public Sector Banks,3.82,109065.0,68534.0,9157.0,2024-03-01,202.8,25.35,1.77,0.71,Risky,2024.0,4.9,True,81935.0,10.0,,-3.0511,0.0,100.0,1.2107716929928327,20.87800930608942,54.03364581995634,23.542786746868842,0.0,33.82881411303494,23.815907059874885,56.736421349635556,0.3223076557843608,56
647,IRFC,Mar 2024,24.06,99.5,13.04,5.75,1.32,8.38,1.32,0.05,7906.0,8.0,5.0,37.63,31.0,412039.0,7914.0,19.07,23.25,20.11,39.06,2026-08-15 07:01:10,Financials,Speciality Finance,4.33,26645.0,20101.0,6412.0,2024-03-01,4629.56,925.91,123.03,0.03,Risky,2024.0,9.38,True,15771.0,19.1,,1.2342,1.0,13.899486909617151,2.1849558137916643,73.67995144648998,54.03364581995634,77.85542822234557,100.0,59.71904606337795,23.652070300863866,1.481307312485298,0.16310890032761413,57
