id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,return_on_assets_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score,created_at,sector,sales,interest,net_profit,price_date,close_price,pe,pb,dividend_yield,icr_label,year_int,prev_de,de_declining_yoy,sales_3y_ago,revenue_cagr_3yr,fcf_cagr_5yr,cfo_pat_ratio,fcf_positive,roe_score,roce_score,npm_score,fcf_cagr_score,cfo_pat_score,fcf_flag_score,rev_cagr_score,pat_cagr_score,de_score,icr_score,overall_rank
891,PIDILITIND,Mar 2024,14.11,21.87,20.78,30.81,14.47,0.05,54.33,1.03,955.0,1769.0,34.0,164.84,47.0,382.0,2724.0,11.84,13.49,13.56,70.95,2026-07-27 05:42:41,Materials,12383.0,51.0,1747.0,2024-03-01,608.58,17.9,3.69,2.63,Strong,2024.0,0.05,False,7293.0,19.3,23.53,1.5592,1.0,55.80521585383821,17.29178688209271,74.5985603543743,100.00000000000001,58.385622049717675,100.0,82.90529695024077,54.26704777460186,99.36305732484077,77.93816324658245,6
826,NESTLEIND,Mar 2024,16.12,23.83,117.75,157.75,37.38,0.1,41.19,2.32,2938.0,1237.0,41.0,34.79,79.0,345.0,4175.0,14.55,14.85,15.44,70.18,2026-07-27 05:42:41,Consumer Staples,24394.0,145.0,3933.0,2024-03-01,703.37,17.16,20.22,4.6,Strong,2024.0,0.11,True,14741.0,18.28,4.32,1.0615,1.0,100.0,100.0,69.91773111063,44.0703125,19.316960224923516,100.0,92.81345565749236,68.99402847955902,76.3005780346821,16.729302995737516,7
171,BAJAJHLDNG,Mar 2024,432.73,91.77,13.58,2.88,11.3,0.0,3764.5,0.03,1469.0,472.0,653.0,4887.12,20.0,63.0,1941.0,31.61,19.3,18.97,65.47,2026-07-27 05:42:41,Financials,1702.0,2.0,7365.0,2024-03-01,2091.55,3.2,0.43,6.24,Strong,2024.0,0.0,False,457.0,55.01,25.87,0.2635,1.0,17.451651098539667,0.18787836615406028,100.0,96.7073327340439,65.55260669754094,100.0,100.0,17.768841227286266,100.0,100.0,9
722,LICI,Mar 2024,4.84,3.87,49.45,39.61,0.77,0.0,371.94,0.16,853.0,25269.0,66.0,130.83,15.0,0.0,26122.0,8.16,73.18,,55.53,2026-07-27 05:42:41,Financials,845966.0,128.0,40916.0,2024-03-01,259.83,3.94,1.99,3.81,Strong,2024.0,0.0,False,690914.0,6.98,-48.22,0.6384,1.0,100.0,25.746294621111964,8.874502663699506,1.5615769872865044,70.3041548479986,100.0,0.0,98.01906464104856,100.0,100.0,20
761,LTIM,Mar 2024,12.91,17.98,22.9,28.91,16.65,0.1,31.93,1.29,1752.0,3918.0,155.0,667.27,42.0,2071.0,5670.0,30.33,24.78,12.24,54.45,2026-07-27 05:42:41,Information Technology,35517.0,222.0,4585.0,2024-03-01,1882.58,12.15,2.82,3.46,Strong,2024.0,0.09,False,12370.0,42.13,22.08,1.2366,1.0,29.88612762300364,24.183710082526012,47.94916233391103,97.64808362369337,22.84051917052065,100.0,100.0,99.99999999999999,0.0,16.361825425570448,21
12,ABB,Mar 2024,20.53,24.84,32.47,38.42,23.13,0.02,141.75,1.13,797.0,416.0,565.0,1761.43,73.0,83.0,1213.0,9.72,21.69,21.66,49.9,2026-07-27 05:42:41,Industrials,5849.0,12.0,1201.0,2024-03-01,3908.54,6.92,2.22,10.55,Strong,2024.0,0.04,True,4310.0,10.71,26.92,1.01,1.0,0.6325202772754825,0.9123010606351217,77.56255044390639,56.48079504698552,77.32853221182135,100.0,20.102476515798458,63.382840891136055,100.00000000000001,48.16485650877845,34
403,EICHERMOT,Mar 2024,24.2,26.18,22.17,23.45,17.31,0.02,114.71,0.72,890.0,2834.0,146.0,668.33,35.0,419.0,3724.0,11.04,12.68,12.51,44.76,2026-07-27 05:42:41,Consumer Discretionary,16536.0,51.0,4001.0,2024-03-01,1517.23,10.39,2.27,3.37,Strong,2024.0,0.02,False,8720.0,23.78,-0.55,0.9308,1.0,34.323076259117,5.390162416062976,100.0,4.918465122412201,43.04369643947733,100.0,33.646898432174495,8.46538338828033,99.14686166971359,98.01333900950759,44
519,HEROMOTOCO,Mar 2024,9.9,86.15,21.14,177.84,14.31,0.03,47.27,1.44,3095.0,1828.0,187.0,884.95,75.0,606.0,4923.0,2.15,1.54,1.69,42.89,2026-07-27 05:42:41,Consumer Discretionary,37789.0,689.0,3742.0,2024-03-01,1214.93,6.5,1.37,11.54,Strong,2024.0,0.03,False,30959.0,6.87,5.84,1.3156,1.0,29.877864572094428,100.0,29.99598139962109,18.96180387675267,58.01244023977998,100.0,0.0,0.0,98.53747714808043,38.20065276003974,48
982,SHREECEM,Mar 2024,8.45,22.02,8.37,20.21,6.21,0.08,19.83,0.73,1929.0,1418.0,480.0,5750.83,16.0,1656.0,3347.0,10.33,11.29,10.68,40.4,2026-07-27 05:42:41,Materials,20521.0,258.0,1733.0,2024-03-01,2496.01,5.2,0.43,3.08,Strong,2024.0,0.15,True,13560.0,14.81,7.24,1.9313,1.0,10.092824517459846,5.96482229488577,35.4235880398671,0.0,89.14709456610697,100.0,67.75682182985554,31.808901592486706,96.1783439490446,25.18425639927826,52
787,MARUTI,Mar 2024,9.51,13.13,15.75,21.72,11.7,0.0,117.91,1.23,4936.0,11865.0,429.0,2727.26,29.0,119.0,16801.0,10.51,12.01,11.14,37.65,2026-07-27 05:42:41,Consumer Discretionary,141858.0,194.0,13488.0,2024-03-01,4101.92,9.56,1.5,3.03,Strong,2024.0,0.02,True,70372.0,26.32,10.03,1.2456,1.0,6.6160286565102915,3.9595117594522136,27.757046902807268,28.170190321304556,55.28943591020309,100.0,30.03408316291751,7.2778191357368165,100.0,100.0,63
247,BOSCHLTD,Mar 2024,14.89,12.52,20.64,17.31,14.35,0.0,71.78,0.96,1536.0,283.0,844.0,4021.33,44.0,39.0,1253.0,6.72,9.28,9.26,33.36,2026-07-27 05:42:41,Consumer Discretionary,16727.0,51.0,2490.0,2024-03-01,2542.69,3.01,0.63,14.61,Strong,2024.0,0.0,False,9718.0,19.84,-8.22,0.5032,1.0,27.719994821112596,0.3125930336409643,58.642861243469746,0.0,26.41002999194768,100.0,4.199045671438307,2.4389379276117524,100.0,100.0,70
