id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,return_on_assets_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score,created_at,sector,sub_sector,index_weight_pct,sales,interest,net_profit,price_date,close_price,pe,pb,dividend_yield,icr_label,year_int,prev_de,de_declining_yoy,sales_3y_ago,revenue_cagr_3yr,fcf_cagr_5yr,cfo_pat_ratio,fcf_positive,roe_score,roce_score,npm_score,fcf_cagr_score,cfo_pat_score,fcf_flag_score,rev_cagr_score,pat_cagr_score,de_score,icr_score,overall_rank
1163,INDIGO,Mar 2024,11.85,76.3,892.57,5640.88,668.33,0.02,22.61,56.39,9424.0,11759.0,212.0,190.62,0.0,17.0,21183.0,19.31,120.69,121.24,88.85,2026-08-15 07:01:10,Consumer Discretionary,Airlines,3.03,68904.0,2326.0,8167.0,2024-03-01,5130.15,24.2,26.91,0.0,Strong,2024.0,0.02,False,14641.0,67.58,71.57,2.5937,1.0,100.0,100.0,41.1906538836902,99.99999999999999,99.99999999999999,100.0,90.0204498977505,100.0,99.14686166971359,16.32964382006527,1
634,IRCTC,Mar 2024,26.02,34.33,34.4,44.56,18.24,0.02,82.74,0.7,667.0,215.0,14.0,40.38,47.0,60.0,882.0,17.96,29.17,28.47,71.99,2026-08-15 07:01:10,Consumer Discretionary,Travel & Tourism,3.97,4270.0,19.0,1111.0,2024-03-01,8544.03,610.29,211.59,0.08,Strong,2024.0,0.03,True,777.0,76.47,35.5,0.7939,1.0,87.10457036813258,22.847408289504127,100.0,84.14575183508416,37.71827797206197,100.0,80.81799591002044,37.693643872522934,99.14686166971359,69.65907478359586,5
119,ATGL,Mar 2024,14.93,24.67,18.66,21.49,10.13,0.43,10.5,0.68,,,6.0,32.55,4.0,1557.0,,21.09,23.88,24.57,61.06,2026-08-15 07:01:10,Energy,Gas Distribution,0.6,4475.0,111.0,668.0,2024-03-01,3131.09,521.85,96.19,0.01,Strong,2024.0,0.48,True,1696.0,38.18,,,0.0,40.572043396395564,83.39230269333524,26.306821639384165,51.18169991326973,18.04811834605407,0.0,100.0,100.0,100.0,90.34684027388036,13
1137,TRENT,Mar 2024,11.94,15.93,36.31,33.86,20.62,0.43,8.04,1.73,841.0,508.0,42.0,113.0,8.0,1753.0,1349.0,36.31,73.11,69.52,60.92,2026-08-15 07:01:10,Consumer Discretionary,Retail,0.73,12375.0,368.0,1477.0,2024-03-01,1068.56,25.44,9.46,0.31,Strong,2024.0,1.72,True,2593.0,68.36,,0.9133,1.0,95.34763281688318,13.998875326651437,41.70733107526262,28.170190321304556,42.362945357083106,100.0,100.0,100.0,74.16209628275442,3.407478359585639,14
761,LTIM,Mar 2024,12.91,17.98,22.9,28.91,16.65,0.1,31.93,1.29,1752.0,3918.0,155.0,667.27,42.0,2071.0,5670.0,30.33,24.78,12.24,54.45,2026-08-15 07:01:10,Information Technology,IT Services,2.64,35517.0,222.0,4585.0,2024-03-01,1882.58,12.15,2.82,3.46,Strong,2024.0,0.09,False,12370.0,42.13,22.08,1.2366,1.0,29.88612762300364,24.183710082526012,47.94916233391103,97.64808362369337,22.84051917052065,100.0,100.0,99.99999999999999,0.0,16.361825425570448,21
558,ICICIBANK,Mar 2024,28.89,62.41,17.99,5.22,1.95,6.45,1.3,0.07,12547.0,144737.0,63.0,364.62,16.0,1651008.0,157284.0,17.25,51.95,55.18,52.8,2026-08-15 07:01:10,Financials,Private Banks,3.87,159516.0,76522.0,46081.0,2024-03-01,6944.27,110.23,19.05,0.15,Risky,2024.0,6.53,True,89163.0,21.4,-7.36,3.4132,1.0,46.46099197474015,1.8161575394892495,89.96560793040662,54.03364581995634,100.0,100.0,44.85462267232928,66.39857015192138,24.171173289442745,0.15752297908351776,23
182,BAJFINANCE,Mar 2024,26.29,29.29,18.84,4.35,3.85,3.82,2689.17,0.15,-79931.0,7171.0,233.0,1237.03,15.0,293346.0,-72760.0,24.35,29.32,27.56,47.93,2026-08-15 07:01:10,Financials,Consumer Finance,1.78,54972.0,6.0,14451.0,2024-03-01,2069.28,8.88,1.67,1.69,Strong,2024.0,3.99,True,26673.0,27.26,,-5.0349,0.0,52.05236153137745,1.2107716929928327,81.19900195562748,54.03364581995634,0.0,0.0,100.0,32.69288054810843,55.09052433576299,100.00000000000001,37
1111,TITAN,Mar 2024,6.84,10.36,37.22,21.24,11.08,1.65,9.41,1.62,1506.0,189.0,39.0,105.54,28.0,15528.0,1695.0,20.9,20.27,19.51,46.49,2026-08-15 07:01:10,Consumer Discretionary,Gems & Jewellery,2.38,51084.0,619.0,3496.0,2024-03-01,5223.87,133.95,49.5,0.21,Strong,2024.0,0.79,False,21644.0,33.14,27.56,0.4848,1.0,99.27495576367012,3.5625682246700365,12.428956886158787,66.69596940793811,25.694268853887472,100.0,100.0,21.918536637243417,0.0,4.622534411806442,39
286,CANBK,Mar 2024,13.94,41.75,16.72,3.16,1.0,14.87,1.61,0.07,13296.0,1750.0,17.0,101.58,19.0,1369780.0,15046.0,18.18,85.78,53.42,45.92,2026-08-15 07:01:10,Financials,Public Sector Banks,2.96,110519.0,28646.0,15401.0,2024-03-01,1926.96,113.35,18.97,0.17,Watch,2024.0,15.85,True,70253.0,16.3,-5.34,0.9769,1.0,38.10682804894092,0.3827151903138267,39.55762357542652,56.62771285475793,74.59436303399465,100.0,52.45017967984316,100.0,0.0,0.2441047583670116,40
1033,TATACONSUM,Mar 2024,7.99,15.02,7.57,11.69,4.36,0.22,25.32,0.55,26.0,1911.0,12.0,169.02,64.0,3477.0,1937.0,15.96,21.6,14.87,43.05,2026-08-15 07:01:10,Consumer Staples,Food & Beverages,0.33,15206.0,87.0,1215.0,2024-03-01,3516.47,293.04,20.81,0.22,Strong,2024.0,0.1,False,11602.0,9.44,-37.05,1.5942,1.0,6.258135054927888,0.0,25.914700151547947,0.0,100.0,100.0,100.0,100.0,41.618497109826606,7.201777030677789,46
