Company,Sector,Peer Rank,Composite Score,ROE Percentile,ROCE Percentile,Revenue CAGR Percentile,PAT CAGR Percentile,Debt to Equity Percentile,Operating Margin Percentile,Interest Coverage Percentile
BHARTIARTL,Communication Services,1,50.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0
NAUKRI,Communication Services,2,35.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0
INDIGO,Consumer Discretionary,1,88.85,100.0,100.0,76.92,100.0,75.0,92.31,46.15
IRCTC,Consumer Discretionary,2,71.99,69.23,84.62,69.23,83.33,75.0,84.62,76.92
TRENT,Consumer Discretionary,3,60.92,76.92,76.92,100.0,91.67,41.67,53.85,30.77
BAJAJ-AUTO,Consumer Discretionary,4,50.22,61.54,61.54,30.77,25.0,50.0,69.23,100.0
TITAN,Consumer Discretionary,5,46.49,84.62,30.77,92.31,66.67,8.33,15.38,38.46
EICHERMOT,Consumer Discretionary,6,44.76,46.15,53.85,53.85,41.67,75.0,76.92,84.62
HEROMOTOCO,Consumer Discretionary,7,42.89,38.46,92.31,0.0,0.0,58.33,100.0,53.85
TATAMOTORS,Consumer Discretionary,8,40.74,92.31,69.23,23.08,,25.0,38.46,23.08
DMART,Consumer Discretionary,9,40.05,7.69,38.46,84.62,75.0,58.33,0.0,69.23
MARUTI,Consumer Discretionary,10,37.65,15.38,46.15,46.15,33.33,100.0,30.77,92.31
BOSCHLTD,Consumer Discretionary,11,33.36,30.77,15.38,15.38,16.67,100.0,23.08,61.54
MOTHERSON,Consumer Discretionary,12,23.29,0.0,23.08,38.46,8.33,33.33,7.69,15.38
TVSMOTOR,Consumer Discretionary,13,19.59,53.85,7.69,61.54,58.33,0.0,46.15,0.0
M&M,Consumer Discretionary,14,10.76,23.08,0.0,7.69,50.0,16.67,61.54,7.69
NESTLEIND,Consumer Staples,1,70.18,100.0,100.0,83.33,80.0,66.67,66.67,66.67
HINDUNILVR,Consumer Staples,2,58.32,50.0,83.33,66.67,40.0,83.33,100.0,83.33
ITC,Consumer Staples,3,50.86,66.67,50.0,33.33,20.0,100.0,83.33,100.0
BRITANNIA,Consumer Staples,4,50.44,83.33,66.67,50.0,60.0,0.0,16.67,16.67
TATACONSUM,Consumer Staples,5,43.05,16.67,0.0,100.0,100.0,33.33,0.0,50.0
DABUR,Consumer Staples,6,28.07,33.33,33.33,16.67,0.0,50.0,33.33,33.33
GODREJCP,Consumer Staples,7,18.9,0.0,16.67,0.0,,16.67,50.0,0.0
ADANIPOWER,Energy,1,75.01,100.0,84.62,76.92,,53.85,69.23,53.85
BPCL,Energy,2,63.83,92.31,100.0,38.46,100.0,61.54,7.69,84.62
ATGL,Energy,3,61.06,76.92,76.92,92.31,90.91,92.31,46.15,69.23
IOC,Energy,4,55.86,84.62,92.31,30.77,72.73,61.54,0.0,61.54
POWERGRID,Energy,5,50.96,69.23,61.54,15.38,27.27,38.46,100.0,30.77
ONGC,Energy,6,45.42,61.54,69.23,23.08,45.45,84.62,23.08,84.62
GAIL,Energy,7,38.4,38.46,53.85,53.85,9.09,100.0,15.38,100.0
ADANIENSOL,Energy,8,37.82,7.69,23.08,84.62,63.64,7.69,61.54,7.69
RELIANCE,Energy,9,37.38,15.38,46.15,46.15,54.55,76.92,38.46,46.15
ADANIGREEN,Energy,10,34.9,30.77,7.69,100.0,,0.0,92.31,0.0
