id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,return_on_assets_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score,created_at,sector,sub_sector,index_weight_pct,sales,interest,net_profit,price_date,close_price,pe,pb,dividend_yield,icr_label,year_int,prev_de,de_declining_yoy,sales_3y_ago,revenue_cagr_3yr,fcf_cagr_5yr,cfo_pat_ratio,fcf_positive,roe_score,roce_score,npm_score,fcf_cagr_score,cfo_pat_score,fcf_flag_score,rev_cagr_score,pat_cagr_score,de_score,icr_score,overall_rank
1163,INDIGO,Mar 2024,11.85,76.3,892.57,5640.88,668.33,0.02,22.61,56.39,9424.0,11759.0,212.0,190.62,0.0,17.0,21183.0,19.31,120.69,121.24,88.85,2026-08-15 07:01:10,Consumer Discretionary,Airlines,3.03,68904.0,2326.0,8167.0,2024-03-01,5130.15,24.2,26.91,0.0,Strong,2024.0,0.02,False,14641.0,67.58,71.57,2.5937,1.0,100.0,100.0,41.1906538836902,99.99999999999999,99.99999999999999,100.0,90.0204498977505,100.0,99.14686166971359,16.32964382006527,1
455,HAL,Mar 2024,25.0,32.09,3816.58,3027.64,1687.78,0.62,270.88,67.51,1814.0,6412.0,114.0,199.0,31.0,123.0,8226.0,8.71,26.49,26.64,77.24,2026-08-15 07:01:10,Industrials,Defence & Aerospace,1.6,30381.0,43.0,7595.0,2024-03-01,6125.26,53.73,30.78,0.58,Strong,2024.0,0.27,False,22882.0,9.91,,1.0831,1.0,97.62280743348451,96.94936883326925,97.60559591068066,67.37061451842354,79.04221376712216,100.0,11.477369769427836,82.34318217727919,61.08949416342413,92.87235184345282,2
72,ADANIPOWER,Mar 2024,41.37,36.2,48.28,23.44,22.64,0.8,8.3,0.55,17651.0,3481.0,54.0,111.86,0.0,34616.0,14170.0,16.09,,,75.01,2026-08-15 07:01:10,Energy,Power & Utilities,3.01,50351.0,3388.0,20829.0,2024-03-01,1814.33,33.6,16.22,0.0,Strong,2024.0,1.42,True,26221.0,24.29,30.71,0.6803,1.0,100.0,97.47274171420318,100.0,90.25368603642671,0.0,100.0,73.48080847982091,28.199449701362322,82.77330809275911,65.65271074194635,3
111,ASIANPAINT,Mar 2024,15.66,21.37,29.68,35.77,18.59,0.13,41.0,1.19,3556.0,2548.0,57.0,195.08,58.0,2474.0,6104.0,13.03,20.28,20.97,73.93,2026-08-15 07:01:10,Materials,Paints & Coatings,1.13,35495.0,205.0,5558.0,2024-03-01,4645.81,81.51,23.81,0.71,Strong,2024.0,0.12,False,21713.0,17.8,18.04,1.0982,1.0,88.58847797259465,22.5919514436537,85.3266888150609,75.79009260620315,20.274794771955065,100.0,94.84349919743177,100.0,90.87048832271762,57.55527691978347,4
634,IRCTC,Mar 2024,26.02,34.33,34.4,44.56,18.24,0.02,82.74,0.7,667.0,215.0,14.0,40.38,47.0,60.0,882.0,17.96,29.17,28.47,71.99,2026-08-15 07:01:10,Consumer Discretionary,Travel & Tourism,3.97,4270.0,19.0,1111.0,2024-03-01,8544.03,610.29,211.59,0.08,Strong,2024.0,0.03,True,777.0,76.47,35.5,0.7939,1.0,87.10457036813258,22.847408289504127,100.0,84.14575183508416,37.71827797206197,100.0,80.81799591002044,37.693643872522934,99.14686166971359,69.65907478359586,5
891,PIDILITIND,Mar 2024,14.11,21.87,20.78,30.81,14.47,0.05,54.33,1.03,955.0,1769.0,34.0,164.84,47.0,382.0,2724.0,11.84,13.49,13.56,70.95,2026-08-15 07:01:10,Materials,Specialty Chemicals,2.15,12383.0,51.0,1747.0,2024-03-01,608.58,17.9,3.69,2.63,Strong,2024.0,0.05,False,7293.0,19.3,23.53,1.5592,1.0,55.80521585383821,17.29178688209271,74.5985603543743,100.00000000000001,58.385622049717675,100.0,82.90529695024077,54.26704777460186,99.36305732484077,77.93816324658245,6
826,NESTLEIND,Mar 2024,16.12,23.83,117.75,157.75,37.38,0.1,41.19,2.32,2938.0,1237.0,41.0,34.79,79.0,345.0,4175.0,14.55,14.85,15.44,70.18,2026-08-15 07:01:10,Consumer Staples,Food Products,0.94,24394.0,145.0,3933.0,2024-03-01,703.37,17.16,20.22,4.6,Strong,2024.0,0.11,True,14741.0,18.28,4.32,1.0615,1.0,100.0,100.0,69.91773111063,44.0703125,19.316960224923516,100.0,92.81345565749236,68.99402847955902,76.3005780346821,16.729302995737516,7
221,BEL,Mar 2024,19.66,24.92,4744.05,3977.17,2475.16,0.51,476.75,125.89,-1265.0,5924.0,5.0,7.64,40.0,43.0,4659.0,10.75,16.13,10.76,69.43,2026-08-15 07:01:10,Industrials,Defence Electronics,3.65,20268.0,12.0,3985.0,2024-03-01,1994.87,398.97,261.11,0.1,Strong,2024.0,0.52,True,14109.0,12.83,,1.1691,0.0,100.0,100.0,73.66155501748723,67.37061451842354,81.05830971453489,0.0,28.898377455166514,41.42044556802023,68.2230869001297,100.0,8
171,BAJAJHLDNG,Mar 2024,432.73,91.77,13.58,2.88,11.3,0.0,3764.5,0.03,1469.0,472.0,653.0,4887.12,20.0,63.0,1941.0,31.61,19.3,18.97,65.47,2026-08-15 07:01:10,Financials,Holding Companies,3.36,1702.0,2.0,7365.0,2024-03-01,2091.55,3.2,0.43,6.24,Strong,2024.0,0.0,False,457.0,55.01,25.87,0.2635,1.0,17.451651098539667,0.18787836615406028,100.0,96.7073327340439,65.55260669754094,100.0,100.0,17.768841227286266,100.0,100.0,9
325,COALINDIA,Mar 2024,26.26,66.29,45.17,105.71,15.8,0.08,11.24,0.6,13617.0,4486.0,61.0,134.24,42.0,6523.0,18103.0,7.4,16.43,16.85,64.71,2026-08-15 07:01:10,Materials,Mining & Metals,2.46,142324.0,8396.0,37369.0,2024-03-01,2476.69,40.6,18.45,1.03,Strong,2024.0,0.07,False,90026.0,16.49,9.99,0.4844,1.0,100.0,97.32854608792289,100.0,16.625018374246654,0.0,100.0,38.36276083467095,84.27929767251936,96.1783439490446,12.049298143674116,10
260,BPCL,Mar 2024,5.99,9.84,35.51,33.85,13.27,0.72,11.36,2.21,25415.0,10521.0,62.0,354.1,33.0,54599.0,35936.0,8.48,25.79,28.06,63.83,2026-08-15 07:01:10,Energy,Oil & Gas Refining,2.57,448083.0,4149.0,26859.0,2024-03-01,6642.07,107.13,18.76,0.31,Strong,2024.0,1.3,True,230171.0,24.86,,1.338,1.0,100.0,99.99999999999999,0.0,51.18169991326973,1.5437442123971217,100.0,23.37876094542103,100.0,86.55939422621864,100.0,11
571,ICICIGI,Mar 2024,9.37,87.42,15.72,146.32,3.03,0.0,160.03,0.32,486.0,1921.0,39.0,247.57,28.0,35.0,2407.0,12.91,12.84,11.14,61.71,2026-08-15 07:01:10,Financials,General Insurance,3.51,20487.0,112.0,1919.0,2024-03-01,2023.26,51.88,8.17,0.54,Strong,2024.0,0.0,False,12161.0,18.99,32.28,1.2543,1.0,31.52874621760295,100.0,24.14862768898779,100.0,78.11017913678728,100.0,9.408689970597834,8.147155198093536,100.0,100.0,12
119,ATGL,Mar 2024,14.93,24.67,18.66,21.49,10.13,0.43,10.5,0.68,,,6.0,32.55,4.0,1557.0,,21.09,23.88,24.57,61.06,2026-08-15 07:01:10,Energy,Gas Distribution,0.6,4475.0,111.0,668.0,2024-03-01,3131.09,521.85,96.19,0.01,Strong,2024.0,0.48,True,1696.0,38.18,,,0.0,40.572043396395564,83.39230269333524,26.306821639384165,51.18169991326973,18.04811834605407,0.0,100.0,100.0,100.0,90.34684027388036,13
1137,TRENT,Mar 2024,11.94,15.93,36.31,33.86,20.62,0.43,8.04,1.73,841.0,508.0,42.0,113.0,8.0,1753.0,1349.0,36.31,73.11,69.52,60.92,2026-08-15 07:01:10,Consumer Discretionary,Retail,0.73,12375.0,368.0,1477.0,2024-03-01,1068.56,25.44,9.46,0.31,Strong,2024.0,1.72,True,2593.0,68.36,,0.9133,1.0,95.34763281688318,13.998875326651437,41.70733107526262,28.170190321304556,42.362945357083106,100.0,100.0,100.0,74.16209628275442,3.407478359585639,14
312,CIPLA,Mar 2024,16.12,75.59,15.55,71.46,12.77,0.02,35.34,0.79,1152.0,2982.0,51.0,331.75,25.0,559.0,4134.0,9.51,22.73,21.83,59.65,2026-08-15 07:01:10,Healthcare,Pharmaceuticals,0.95,25774.0,552.0,4154.0,2024-03-01,3636.86,71.31,10.96,0.35,Strong,2024.0,0.03,True,19160.0,10.39,228.75,0.9952,1.0,31.31041890440388,100.0,59.569138276553105,100.0,16.00775833608451,100.0,23.756906077348077,47.60965993100049,98.50746268656715,8.125699475761325,15
1085,TCS,Mar 2024,19.14,26.69,50.94,65.27,31.69,0.09,87.1,1.66,50429.0,6091.0,127.0,249.97,58.0,8021.0,44338.0,10.46,7.87,8.62,59.4,2026-08-15 07:01:10,Information Technology,IT Services,1.1,240893.0,778.0,46099.0,2024-03-01,4752.76,37.42,19.01,1.55,Strong,2024.0,0.09,False,164177.0,13.63,10.77,0.9618,1.0,100.0,100.0,100.0,15.548780487804873,0.06464767019742426,100.0,8.671250175389368,49.60982025427443,62.50000000000006,99.61970300615721,16
545,HINDUNILVR,Mar 2024,16.61,76.32,20.07,89.63,13.1,0.03,57.85,0.79,10145.0,5324.0,44.0,217.95,96.0,1484.0,15469.0,9.5,11.15,9.46,58.32,2026-08-15 07:01:10,Consumer Staples,FMCG,1.11,61896.0,817.0,10282.0,2024-03-01,313.71,7.13,1.44,13.46,Strong,2024.0,0.02,False,47028.0,9.59,13.6,1.5045,1.0,22.52824491070963,73.01857646453043,72.56982030742583,58.5703125,92.58248573554948,100.0,28.46585117227319,35.002296738631145,96.53179190751445,26.731104040343382,17
481,HCLTECH,Mar 2024,14.29,22.02,23.01,32.69,15.87,0.08,46.46,1.11,15840.0,6608.0,58.0,251.43,90.0,5758.0,22448.0,12.71,9.19,9.41,57.99,2026-08-15 07:01:10,Information Technology,IT Services,2.5,109913.0,553.0,15710.0,2024-03-01,834.68,14.39,3.32,6.25,Strong,2024.0,0.07,False,75379.0,13.4,22.62,1.4289,1.0,30.280025782424982,35.48618586293505,61.23627960716348,100.0,38.778656323039435,100.0,24.45629297039428,55.39675580885576,100.0,38.289267173729336,18
623,IOC,Mar 2024,5.56,9.74,23.53,23.94,8.94,0.72,10.28,1.61,39635.0,31464.0,30.0,133.18,40.0,132628.0,71099.0,8.01,20.1,20.11,55.86,2026-08-15 07:01:10,Energy,Oil & Gas Refining,0.27,776352.0,7881.0,43161.0,2024-03-01,993.97,33.13,7.46,1.21,Strong,2024.0,1.07,True,363950.0,28.73,,1.6473,1.0,62.404734152246,99.99999999999999,0.0,51.18169991326973,10.4386787298045,100.0,20.284416353940347,77.02167639755721,86.55939422621864,87.87742732068695,19
722,LICI,Mar 2024,4.84,3.87,49.45,39.61,0.77,0.0,371.94,0.16,853.0,25269.0,66.0,130.83,15.0,0.0,26122.0,8.16,73.18,,55.53,2026-08-15 07:01:10,Financials,Life Insurance,2.18,845966.0,128.0,40916.0,2024-03-01,259.83,3.94,1.99,3.81,Strong,2024.0,0.0,False,690914.0,6.98,-48.22,0.6384,1.0,100.0,25.746294621111964,8.874502663699506,1.5615769872865044,70.3041548479986,100.0,0.0,98.01906464104856,100.0,100.0,20
761,LTIM,Mar 2024,12.91,17.98,22.9,28.91,16.65,0.1,31.93,1.29,1752.0,3918.0,155.0,667.27,42.0,2071.0,5670.0,30.33,24.78,12.24,54.45,2026-08-15 07:01:10,Information Technology,IT Services,2.64,35517.0,222.0,4585.0,2024-03-01,1882.58,12.15,2.82,3.46,Strong,2024.0,0.09,False,12370.0,42.13,22.08,1.2366,1.0,29.88612762300364,24.183710082526012,47.94916233391103,97.64808362369337,22.84051917052065,100.0,100.0,99.99999999999999,0.0,16.361825425570448,21
59,ADANIPORTS,Mar 2024,30.34,58.36,15.35,15.25,6.93,0.94,5.95,0.23,8250.0,6768.0,38.0,244.34,16.0,49470.0,15018.0,19.58,14.91,14.87,54.25,2026-08-15 07:01:10,Industrials,Infrastructure,2.12,26711.0,2733.0,8104.0,2024-03-01,1612.5,42.43,6.6,0.38,Strong,2024.0,1.18,True,12550.0,28.63,37.79,1.8532,1.0,0.19371862613048454,0.16789989233973607,100.0,78.26043398986154,97.09564968691907,100.0,100.00000000000001,36.60135882445884,40.337224383917,1.1480682608981665,22
558,ICICIBANK,Mar 2024,28.89,62.41,17.99,5.22,1.95,6.45,1.3,0.07,12547.0,144737.0,63.0,364.62,16.0,1651008.0,157284.0,17.25,51.95,55.18,52.8,2026-08-15 07:01:10,Financials,Private Banks,3.87,159516.0,76522.0,46081.0,2024-03-01,6944.27,110.23,19.05,0.15,Risky,2024.0,6.53,True,89163.0,21.4,-7.36,3.4132,1.0,46.46099197474015,1.8161575394892495,89.96560793040662,54.03364581995634,100.0,100.0,44.85462267232928,66.39857015192138,24.171173289442745,0.15752297908351776,23
390,DRREDDY,Mar 2024,19.91,28.32,19.74,26.22,14.38,0.07,51.71,0.72,509.0,4034.0,67.0,340.41,12.0,2002.0,4543.0,12.64,23.39,23.84,51.79,2026-08-15 07:01:10,Healthcare,Pharmaceuticals,1.01,28011.0,171.0,5578.0,2024-03-01,5733.32,85.57,16.84,0.14,Strong,2024.0,0.06,False,19048.0,13.72,-24.69,0.8144,1.0,76.31578947368419,25.05623031938821,97.54509018036072,0.0,1.0853416969296792,100.0,81.39963167587477,50.86249383932972,91.04477611940297,12.946928196972374,24
1124,TORNTPHARM,Mar 2024,15.44,31.39,24.15,30.96,11.42,0.59,9.93,0.74,3106.0,160.0,49.0,202.84,57.0,4022.0,3266.0,6.93,30.59,30.39,51.0,2026-08-15 07:01:10,Healthcare,Pharmaceuticals,0.24,10728.0,354.0,1656.0,2024-03-01,1757.81,35.87,8.67,1.59,Strong,2024.0,0.87,True,8005.0,10.25,14.88,1.9722,1.0,100.0,39.271255060728755,52.755511022044075,14.136329800432458,96.64493232089796,100.0,0.0,86.34795465746673,13.432835820895518,0.6420451198680567,25
917,POWERGRID,Mar 2024,33.97,86.87,17.87,18.91,6.21,1.42,4.6,0.18,24176.0,13114.0,17.0,93.7,67.0,123516.0,37290.0,5.51,9.19,9.1,50.96,2026-08-15 07:01:10,Energy,Power Transmission,4.12,45843.0,8773.0,15573.0,2024-03-01,6197.62,364.57,66.14,0.18,Healthy,2024.0,1.55,True,39640.0,4.97,39.7,2.3945,1.0,37.03039540930689,64.76279875803306,84.23903121767174,100.0,31.926861954527403,100.0,3.8251366120218595,3.8051137507549835,53.43114055844774,24.121674710966435,26
1008,SIEMENS,Sep 2024,12.22,13.96,17.7,19.85,10.74,0.02,67.15,0.88,1168.0,502.0,76.0,432.59,16.0,279.0,1670.0,11.19,19.85,19.64,50.9,2026-08-15 07:01:10,Industrials,Capital Goods,0.99,22240.0,60.0,2718.0,2024-09-01,3486.4,45.87,8.06,0.35,Strong,2024.0,0.01,False,13198.0,19.0,53.29,0.6144,1.0,0.25395132941265425,0.31568778073674836,40.30131826741996,100.0,68.05449085372287,100.0,32.65584970111015,56.11471006478118,100.00000000000001,22.336782846835376,27
660,ITC,Mar 2024,29.28,37.02,27.85,35.07,22.62,0.0,362.96,0.77,18742.0,1563.0,16.0,59.7,84.0,303.0,17179.0,7.95,10.08,9.86,50.86,2026-08-15 07:01:10,Consumer Staples,Diversified FMCG,1.39,70866.0,80.0,20751.0,2024-03-01,10035.18,627.2,168.09,0.13,Strong,2024.0,0.0,False,49257.0,12.89,21.64,0.8279,1.0,32.654761284948194,18.99235552738939,100.0,71.1328125,0.0,100.0,8.71559633027523,25.17225539733578,100.0,100.0,28
532,HINDALCO,Mar 2024,4.7,88.95,9.57,118.21,4.4,0.53,126.47,0.94,9789.0,14267.0,45.0,478.14,8.0,56356.0,24056.0,10.59,13.07,13.4,50.81,2026-08-15 07:01:10,Materials,Metals & Mining,0.64,215962.0,1519.0,10155.0,2024-03-01,2536.64,56.37,5.31,0.14,Strong,2024.0,0.64,True,132008.0,17.83,8.46,2.3689,1.0,14.513039634595549,100.0,9.468438538205977,5.379979420843747,100.0,100.0,70.36516853932584,49.97958350347079,48.40764331210191,100.0,29
676,JIOFIN,Mar 2024,86.52,84.04,1.15,1.12,1.11,0.0,198.8,0.01,763.0,1441.0,3.0,219.03,0.0,0.0,-678.0,,,,50.75,2026-08-15 07:01:10,Financials,Diversified Financials,0.38,1855.0,10.0,1605.0,2024-03-01,8449.4,2816.47,38.58,0.0,Strong,2024.0,0.01,True,,,,-0.4224,1.0,0.0,0.0,100.0,54.03364581995634,56.859390169403014,100.0,45.793858216269186,23.815907059874885,100.0,100.0,30
