Sector,KPI,Mean,Median,Minimum,Maximum,Standard Deviation
Communication Services,ROE,6.165,6.165,1.97,10.36,5.9326
Communication Services,ROCE,14.29,14.29,2.33,26.25,16.914
Communication Services,Revenue CAGR,15.145,15.145,13.17,17.12,2.7931
Communication Services,PAT CAGR,19.23,19.23,0.1,38.36,27.0539
Communication Services,Operating Margin,40.12,40.12,28.04,52.2,17.0837
Communication Services,Debt to Equity,1.31,1.31,0.01,2.61,1.8385
Communication Services,Interest Coverage,16.14,16.14,3.31,28.97,18.1444
Communication Services,Composite Quality Score,42.5,42.5,35.0,50.0,10.6066
Consumer Discretionary,ROE,86.7243,24.195,11.55,892.57,232.105
Consumer Discretionary,ROCE,436.6257,22.585,14.24,5640.88,1498.4654
Consumer Discretionary,Revenue CAGR,13.605,10.775,2.15,36.31,8.8006
Consumer Discretionary,PAT CAGR,27.2023,15.32,1.54,120.69,33.2175
Consumer Discretionary,Operating Margin,25.5364,14.99,8.08,86.15,24.6623
Consumer Discretionary,Debt to Equity,0.6971,0.05,0.0,3.83,1.0967
Consumer Discretionary,Interest Coverage,52.9,34.94,2.91,174.42,54.5378
Consumer Discretionary,Composite Quality Score,43.6829,41.815,10.76,88.85,20.4487
Consumer Staples,ROE,34.4714,20.07,-4.45,117.75,40.9714
Consumer Staples,ROCE,55.2757,35.07,11.69,157.75,52.4147
Consumer Staples,Revenue CAGR,10.13,8.69,6.45,15.96,3.644
Consumer Staples,PAT CAGR,12.5567,12.105,4.6,21.6,5.6341
Consumer Staples,Operating Margin,30.2014,20.98,15.02,76.32,21.5067
Consumer Staples,Debt to Equity,0.1814,0.14,0.0,0.52,0.1763
Consumer Staples,Interest Coverage,76.2243,25.32,2.41,362.96,127.6216
Consumer Staples,Composite Quality Score,45.6886,50.44,18.9,70.18,17.5295
Energy,ROE,17.9336,13.25,8.28,48.28,11.2445
Energy,ROCE,16.6993,13.73,6.75,33.85,7.3591
Energy,Revenue CAGR,12.4471,10.72,1.4,34.98,8.4959
Energy,PAT CAGR,14.7008,12.825,7.27,25.79,6.476
Energy,Operating Margin,33.5964,26.75,9.74,86.87,24.659
Energy,Debt to Equity,1.4593,0.82,0.28,6.6,1.6359
Energy,Interest Coverage,8.1057,8.015,1.71,23.62,5.7842
Energy,Composite Quality Score,44.4271,38.11,29.33,75.01,14.6275
Financials,ROE,19.0068,15.74,1.15,61.32,13.0221
Financials,ROCE,79.2776,4.35,1.12,754.9,209.6725
Financials,Revenue CAGR,17.745,17.365,8.16,31.61,5.3043
Financials,PAT CAGR,31.9895,23.36,-5.66,85.78,26.2918
Financials,Operating Margin,53.425,40.15,-13.73,102.03,35.5938
Financials,Debt to Equity,4.82,4.395,0.0,14.87,4.2258
Financials,Interest Coverage,349.4118,1.89,0.37,3764.5,951.6099
Financials,Composite Quality Score,42.893,42.48,28.3,65.47,9.8662
Healthcare,ROE,16.6333,15.32,11.79,24.15,4.5411
Healthcare,ROCE,30.6467,22.865,16.28,71.46,20.694
Healthcare,Revenue CAGR,10.6967,10.22,6.93,14.66,2.6893
Healthcare,PAT CAGR,23.465,23.965,3.41,36.13,11.0912
Healthcare,Operating Margin,33.8117,28.245,12.56,75.59,21.5105
Healthcare,Debt to Equity,0.25,0.06,0.0,0.77,0.3388
Healthcare,Interest Coverage,132.855,43.525,5.57,636.25,247.5343
Healthcare,Composite Quality Score,47.7167,49.78,36.36,59.65,8.6775
Industrials,ROE,874.177,17.385,1.15,4744.05,1808.5773
Industrials,ROCE,726.288,22.06,2.14,3977.17,1480.6448
Industrials,Revenue CAGR,10.877,10.95,-4.73,19.58,6.6401
Industrials,PAT CAGR,17.058,17.99,-22.4,45.81,17.5615
Industrials,Operating Margin,21.334,17.36,2.98,58.36,15.5678
Industrials,Debt to Equity,0.583,0.435,0.02,1.67,0.6203
Industrials,Interest Coverage,99.874,15.655,1.59,476.75,158.5458
Industrials,Composite Quality Score,45.874,45.035,17.9,77.24,18.3427
Information Technology,ROE,27.126,23.01,8.99,50.94,15.3127
Information Technology,ROCE,36.012,32.69,15.43,65.27,18.3315
Information Technology,Revenue CAGR,15.02,12.71,8.4,30.33,8.7702
Information Technology,PAT CAGR,8.418,9.19,-10.99,24.78,12.7793
Information Technology,Operating Margin,19.812,22.02,8.67,26.69,6.9785
Information Technology,Debt to Equity,0.092,0.09,0.08,0.1,0.0084
Information Technology,Interest Coverage,53.374,46.46,13.86,87.52,33.0621
Information Technology,Composite Quality Score,48.654,54.45,23.89,59.4,14.5836
Materials,ROE,16.07,11.55,-5.33,45.17,14.4168
Materials,ROCE,41.3433,20.21,12.42,118.21,40.8614
Materials,Revenue CAGR,9.12,10.33,1.4,15.6,4.4396
Materials,PAT CAGR,12.7686,13.07,3.59,20.28,5.1517
Materials,Operating Margin,31.7622,21.37,9.71,88.95,26.8861
Materials,Debt to Equity,0.3711,0.13,0.02,1.13,0.4169
Materials,Interest Coverage,32.7722,19.83,2.16,126.47,39.3089
Materials,Composite Quality Score,44.4967,40.4,20.52,73.93,21.343
Real Estate,ROE,7.905,7.905,6.91,8.9,1.4071
Real Estate,ROCE,7.695,7.695,4.8,10.59,4.0941
Real Estate,Revenue CAGR,-3.985,-3.985,-5.14,-2.83,1.6334
Real Estate,PAT CAGR,7.29,7.29,-1.12,15.7,11.8935
