id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,return_on_assets_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score,created_at,sector,sub_sector,index_weight_pct,sales,interest,net_profit,price_date,close_price,pe,pb,dividend_yield,icr_label,year_int,prev_de,de_declining_yoy,sales_3y_ago,revenue_cagr_3yr,fcf_cagr_5yr,cfo_pat_ratio,fcf_positive,roe_score,roce_score,npm_score,fcf_cagr_score,cfo_pat_score,fcf_flag_score,rev_cagr_score,pat_cagr_score,de_score,icr_score,overall_rank
72,ADANIPOWER,Mar 2024,41.37,36.2,48.28,23.44,22.64,0.8,8.3,0.55,17651.0,3481.0,54.0,111.86,0.0,34616.0,14170.0,16.09,,,75.01,2026-08-15 07:01:10,Energy,Power & Utilities,3.01,50351.0,3388.0,20829.0,2024-03-01,1814.33,33.6,16.22,0.0,Strong,2024.0,1.42,True,26221.0,24.29,30.71,0.6803,1.0,100.0,97.47274171420318,100.0,90.25368603642671,0.0,100.0,73.48080847982091,28.199449701362322,82.77330809275911,65.65271074194635,3
634,IRCTC,Mar 2024,26.02,34.33,34.4,44.56,18.24,0.02,82.74,0.7,667.0,215.0,14.0,40.38,47.0,60.0,882.0,17.96,29.17,28.47,71.99,2026-08-15 07:01:10,Consumer Discretionary,Travel & Tourism,3.97,4270.0,19.0,1111.0,2024-03-01,8544.03,610.29,211.59,0.08,Strong,2024.0,0.03,True,777.0,76.47,35.5,0.7939,1.0,87.10457036813258,22.847408289504127,100.0,84.14575183508416,37.71827797206197,100.0,80.81799591002044,37.693643872522934,99.14686166971359,69.65907478359586,5
826,NESTLEIND,Mar 2024,16.12,23.83,117.75,157.75,37.38,0.1,41.19,2.32,2938.0,1237.0,41.0,34.79,79.0,345.0,4175.0,14.55,14.85,15.44,70.18,2026-08-15 07:01:10,Consumer Staples,Food Products,0.94,24394.0,145.0,3933.0,2024-03-01,703.37,17.16,20.22,4.6,Strong,2024.0,0.11,True,14741.0,18.28,4.32,1.0615,1.0,100.0,100.0,69.91773111063,44.0703125,19.316960224923516,100.0,92.81345565749236,68.99402847955902,76.3005780346821,16.729302995737516,7
260,BPCL,Mar 2024,5.99,9.84,35.51,33.85,13.27,0.72,11.36,2.21,25415.0,10521.0,62.0,354.1,33.0,54599.0,35936.0,8.48,25.79,28.06,63.83,2026-08-15 07:01:10,Energy,Oil & Gas Refining,2.57,448083.0,4149.0,26859.0,2024-03-01,6642.07,107.13,18.76,0.31,Strong,2024.0,1.3,True,230171.0,24.86,,1.338,1.0,100.0,99.99999999999999,0.0,51.18169991326973,1.5437442123971217,100.0,23.37876094542103,100.0,86.55939422621864,100.0,11
1137,TRENT,Mar 2024,11.94,15.93,36.31,33.86,20.62,0.43,8.04,1.73,841.0,508.0,42.0,113.0,8.0,1753.0,1349.0,36.31,73.11,69.52,60.92,2026-08-15 07:01:10,Consumer Discretionary,Retail,0.73,12375.0,368.0,1477.0,2024-03-01,1068.56,25.44,9.46,0.31,Strong,2024.0,1.72,True,2593.0,68.36,,0.9133,1.0,95.34763281688318,13.998875326651437,41.70733107526262,28.170190321304556,42.362945357083106,100.0,100.0,100.0,74.16209628275442,3.407478359585639,14
312,CIPLA,Mar 2024,16.12,75.59,15.55,71.46,12.77,0.02,35.34,0.79,1152.0,2982.0,51.0,331.75,25.0,559.0,4134.0,9.51,22.73,21.83,59.65,2026-08-15 07:01:10,Healthcare,Pharmaceuticals,0.95,25774.0,552.0,4154.0,2024-03-01,3636.86,71.31,10.96,0.35,Strong,2024.0,0.03,True,19160.0,10.39,228.75,0.9952,1.0,31.31041890440388,100.0,59.569138276553105,100.0,16.00775833608451,100.0,23.756906077348077,47.60965993100049,98.50746268656715,8.125699475761325,15
623,IOC,Mar 2024,5.56,9.74,23.53,23.94,8.94,0.72,10.28,1.61,39635.0,31464.0,30.0,133.18,40.0,132628.0,71099.0,8.01,20.1,20.11,55.86,2026-08-15 07:01:10,Energy,Oil & Gas Refining,0.27,776352.0,7881.0,43161.0,2024-03-01,993.97,33.13,7.46,1.21,Strong,2024.0,1.07,True,363950.0,28.73,,1.6473,1.0,62.404734152246,99.99999999999999,0.0,51.18169991326973,10.4386787298045,100.0,20.284416353940347,77.02167639755721,86.55939422621864,87.87742732068695,19
59,ADANIPORTS,Mar 2024,30.34,58.36,15.35,15.25,6.93,0.94,5.95,0.23,8250.0,6768.0,38.0,244.34,16.0,49470.0,15018.0,19.58,14.91,14.87,54.25,2026-08-15 07:01:10,Industrials,Infrastructure,2.12,26711.0,2733.0,8104.0,2024-03-01,1612.5,42.43,6.6,0.38,Strong,2024.0,1.18,True,12550.0,28.63,37.79,1.8532,1.0,0.19371862613048454,0.16789989233973607,100.0,78.26043398986154,97.09564968691907,100.0,100.00000000000001,36.60135882445884,40.337224383917,1.1480682608981665,22
558,ICICIBANK,Mar 2024,28.89,62.41,17.99,5.22,1.95,6.45,1.3,0.07,12547.0,144737.0,63.0,364.62,16.0,1651008.0,157284.0,17.25,51.95,55.18,52.8,2026-08-15 07:01:10,Financials,Private Banks,3.87,159516.0,76522.0,46081.0,2024-03-01,6944.27,110.23,19.05,0.15,Risky,2024.0,6.53,True,89163.0,21.4,-7.36,3.4132,1.0,46.46099197474015,1.8161575394892495,89.96560793040662,54.03364581995634,100.0,100.0,44.85462267232928,66.39857015192138,24.171173289442745,0.15752297908351776,23
1124,TORNTPHARM,Mar 2024,15.44,31.39,24.15,30.96,11.42,0.59,9.93,0.74,3106.0,160.0,49.0,202.84,57.0,4022.0,3266.0,6.93,30.59,30.39,51.0,2026-08-15 07:01:10,Healthcare,Pharmaceuticals,0.24,10728.0,354.0,1656.0,2024-03-01,1757.81,35.87,8.67,1.59,Strong,2024.0,0.87,True,8005.0,10.25,14.88,1.9722,1.0,100.0,39.271255060728755,52.755511022044075,14.136329800432458,96.64493232089796,100.0,0.0,86.34795465746673,13.432835820895518,0.6420451198680567,25
