id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,return_on_assets_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score,created_at,sector,sales,interest,net_profit,price_date,close_price,pe,pb,dividend_yield,icr_label,year_int,prev_de,de_declining_yoy,sales_3y_ago,revenue_cagr_3yr,fcf_cagr_5yr,cfo_pat_ratio,fcf_positive,roe_score,roce_score,npm_score,fcf_cagr_score,cfo_pat_score,fcf_flag_score,rev_cagr_score,pat_cagr_score,de_score,icr_score,overall_rank
171,BAJAJHLDNG,Mar 2024,432.73,91.77,13.58,2.88,11.3,0.0,3764.5,0.03,1469.0,472.0,653.0,4887.12,20.0,63.0,1941.0,31.61,19.3,18.97,65.47,2026-07-27 05:42:41,Financials,1702.0,2.0,7365.0,2024-03-01,2091.55,3.2,0.43,6.24,Strong,2024.0,0.0,False,457.0,55.01,25.87,0.2635,1.0,17.451651098539667,0.18787836615406028,100.0,96.7073327340439,65.55260669754094,100.0,100.0,17.768841227286266,100.0,100.0,9
545,HINDUNILVR,Mar 2024,16.61,76.32,20.07,89.63,13.1,0.03,57.85,0.79,10145.0,5324.0,44.0,217.95,96.0,1484.0,15469.0,9.5,11.15,9.46,58.32,2026-07-27 05:42:41,Consumer Staples,61896.0,817.0,10282.0,2024-03-01,313.71,7.13,1.44,13.46,Strong,2024.0,0.02,False,47028.0,9.59,13.6,1.5045,1.0,22.52824491070963,73.01857646453043,72.56982030742583,58.5703125,92.58248573554948,100.0,28.46585117227319,35.002296738631145,96.53179190751445,26.731104040343382,17
722,LICI,Mar 2024,4.84,3.87,49.45,39.61,0.77,0.0,371.94,0.16,853.0,25269.0,66.0,130.83,15.0,0.0,26122.0,8.16,73.18,,55.53,2026-07-27 05:42:41,Financials,845966.0,128.0,40916.0,2024-03-01,259.83,3.94,1.99,3.81,Strong,2024.0,0.0,False,690914.0,6.98,-48.22,0.6384,1.0,100.0,25.746294621111964,8.874502663699506,1.5615769872865044,70.3041548479986,100.0,0.0,98.01906464104856,100.0,100.0,20
761,LTIM,Mar 2024,12.91,17.98,22.9,28.91,16.65,0.1,31.93,1.29,1752.0,3918.0,155.0,667.27,42.0,2071.0,5670.0,30.33,24.78,12.24,54.45,2026-07-27 05:42:41,Information Technology,35517.0,222.0,4585.0,2024-03-01,1882.58,12.15,2.82,3.46,Strong,2024.0,0.09,False,12370.0,42.13,22.08,1.2366,1.0,29.88612762300364,24.183710082526012,47.94916233391103,97.64808362369337,22.84051917052065,100.0,100.0,99.99999999999999,0.0,16.361825425570448,21
273,BRITANNIA,Mar 2024,12.73,18.89,54.15,52.73,23.52,0.52,20.6,1.85,3050.0,477.0,89.0,164.21,83.0,2065.0,2573.0,8.69,13.06,13.14,50.44,2026-07-27 05:42:41,Consumer Staples,16769.0,164.0,2134.0,2024-03-01,337.13,3.79,2.05,21.91,Strong,2024.0,0.85,True,13136.0,8.48,58.59,1.2057,1.0,66.88707242151298,36.479581732483055,51.569603810348546,100.0,43.165467625899275,100.0,18.14475025484199,52.549379880569596,0.0,4.368133517440113,31
12,ABB,Mar 2024,20.53,24.84,32.47,38.42,23.13,0.02,141.75,1.13,797.0,416.0,565.0,1761.43,73.0,83.0,1213.0,9.72,21.69,21.66,49.9,2026-07-27 05:42:41,Industrials,5849.0,12.0,1201.0,2024-03-01,3908.54,6.92,2.22,10.55,Strong,2024.0,0.04,True,4310.0,10.71,26.92,1.01,1.0,0.6325202772754825,0.9123010606351217,77.56255044390639,56.48079504698552,77.32853221182135,100.0,20.102476515798458,63.382840891136055,100.00000000000001,48.16485650877845,34
182,BAJFINANCE,Mar 2024,26.29,29.29,18.84,4.35,3.85,3.82,2689.17,0.15,-79931.0,7171.0,233.0,1237.03,15.0,293346.0,-72760.0,24.35,29.32,27.56,47.93,2026-07-27 05:42:41,Financials,54972.0,6.0,14451.0,2024-03-01,2069.28,8.88,1.67,1.69,Strong,2024.0,3.99,True,26673.0,27.26,,-5.0349,0.0,52.05236153137745,1.2107716929928327,81.19900195562748,54.03364581995634,0.0,0.0,100.0,32.69288054810843,55.09052433576299,100.00000000000001,37
403,EICHERMOT,Mar 2024,24.2,26.18,22.17,23.45,17.31,0.02,114.71,0.72,890.0,2834.0,146.0,668.33,35.0,419.0,3724.0,11.04,12.68,12.51,44.76,2026-07-27 05:42:41,Consumer Discretionary,16536.0,51.0,4001.0,2024-03-01,1517.23,10.39,2.27,3.37,Strong,2024.0,0.02,False,8720.0,23.78,-0.55,0.9308,1.0,34.323076259117,5.390162416062976,100.0,4.918465122412201,43.04369643947733,100.0,33.646898432174495,8.46538338828033,99.14686166971359,98.01333900950759,44
519,HEROMOTOCO,Mar 2024,9.9,86.15,21.14,177.84,14.31,0.03,47.27,1.44,3095.0,1828.0,187.0,884.95,75.0,606.0,4923.0,2.15,1.54,1.69,42.89,2026-07-27 05:42:41,Consumer Discretionary,37789.0,689.0,3742.0,2024-03-01,1214.93,6.5,1.37,11.54,Strong,2024.0,0.03,False,30959.0,6.87,5.84,1.3156,1.0,29.877864572094428,100.0,29.99598139962109,18.96180387675267,58.01244023977998,100.0,0.0,0.0,98.53747714808043,38.20065276003974,48
1046,TATAMOTORS,Mar 2024,7.26,13.6,37.46,30.98,8.61,1.26,6.53,1.19,45133.0,22782.0,94.0,221.72,7.0,107262.0,67915.0,7.72,,,40.74,2026-07-27 05:42:41,Consumer Discretionary,437928.0,9986.0,31807.0,2024-03-01,472.67,5.03,2.13,1.39,Strong,2024.0,2.96,True,249795.0,20.58,,2.1352,1.0,100.0,11.617214117958376,14.84011711349675,28.170190321304556,89.89493093294018,100.0,11.015678254942054,13.14474104009358,23.583180987202926,2.068255995459061,51
