table,rows_read,rows_inserted,rows_rejected,runtime,timestamp
companies,92,92,0,0.0214s,2026-08-07 19:58:26
sectors,92,92,0,0.0192s,2026-08-07 19:58:26
analysis,20,16,4,0.0193s,2026-08-07 19:58:26
prosandcons,16,14,2,0.0191s,2026-08-07 19:58:26
profitandloss,1276,1164,112,0.0356s,2026-08-07 19:58:26
balancesheet,1312,1140,172,0.0463s,2026-08-07 19:58:26
cashflow,1187,1068,119,0.037s,2026-08-07 19:58:26
documents,1585,1457,128,0.0385s,2026-08-07 19:58:26
stock_prices,5520,5520,0,0.0663s,2026-08-07 19:58:26
peer_groups,56,56,0,0.0157s,2026-08-07 19:58:26
