company_id,company_name,year,previous_pattern,current_pattern,change_category
ABB,Abbott India Ltd,Mar 2023,Reinvestor,Shareholder Returns,Mature
ADANIENSOL,Adani Energy Solutions Ltd,Mar 2015,Pre-Revenue,Growth Funded by Debt,Strategic Shift
ADANIENSOL,Adani Energy Solutions Ltd,Mar 2016,Growth Funded by Debt,Shareholder Returns,Mature
ADANIENSOL,Adani Energy Solutions Ltd,Mar 2018,Shareholder Returns,Mixed,Negative Shift
ADANIENSOL,Adani Energy Solutions Ltd,Mar 2021,Mixed,Shareholder Returns,Mature
ADANIENSOL,Adani Energy Solutions Ltd,Mar 2023,Shareholder Returns,Mixed,Negative Shift
ADANIENSOL,Adani Energy Solutions Ltd,Mar 2024,Mixed,Shareholder Returns,Mature
ADANIENT,Adani Enterprises Ltd,Mar 2014,Mixed,Shareholder Returns,Mature
ADANIENT,Adani Enterprises Ltd,Mar 2015,Shareholder Returns,Mixed,Negative Shift
ADANIENT,Adani Enterprises Ltd,Mar 2016,Mixed,Shareholder Returns,Mature
ADANIENT,Adani Enterprises Ltd,Mar 2017,Shareholder Returns,Mixed,Negative Shift
ADANIENT,Adani Enterprises Ltd,Mar 2019,Mixed,Liquidating Assets,Strategic Shift
ADANIENT,Adani Enterprises Ltd,Mar 2020,Liquidating Assets,Shareholder Returns,Mature
ADANIENT,Adani Enterprises Ltd,Mar 2021,Shareholder Returns,Mixed,Negative Shift
ADANIENT,Adani Enterprises Ltd,Mar 2023,Mixed,Shareholder Returns,Mature
ADANIENT,Adani Enterprises Ltd,Mar 2024,Shareholder Returns,Mixed,Negative Shift
ADANIGREEN,Adani Green Energy Ltd,Mar 2023,Mixed,Shareholder Returns,Mature
ADANIGREEN,Adani Green Energy Ltd,Mar 2024,Shareholder Returns,Mixed,Negative Shift
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Mar 2015,Mixed,Reinvestor,Improving
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Mar 2016,Reinvestor,Mixed,Negative Shift
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Mar 2017,Mixed,Reinvestor,Improving
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Mar 2018,Reinvestor,Shareholder Returns,Mature
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Mar 2019,Shareholder Returns,Mixed,Negative Shift
