Company ID,Company Name,Sector,Status,Page Count,File Size (KB),Generation Time (s)
ABB,Abbott India Ltd,Industrials,Generated,2,336.68,3.87
ADANIENSOL,Adani Energy Solutions Ltd,Utilities,Generated,2,327.46,2.89
ADANIENT,Adani Enterprises Ltd,Industrials,Generated,2,323.64,2.82
ADANIGREEN,Adani Green Energy Ltd,Utilities,Generated,2,307.01,3.01
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Industrials,Generated,2,334.57,3.08
ADANIPOWER,Adani Power Ltd,Utilities,Generated,2,334.12,3.46
AMBUJACEM,Ambuja Cements Ltd,Materials,Generated,2,332.0,3.26
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Healthcare,Generated,2,336.42,2.89
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,Generated,2,340.37,3.18
ATGL,Adani Total Gas Ltd,Energy,Skipped,0,0.0,0.0
AXISBANK,Axis Bank Ltd,Banking,Generated,2,345.46,3.17
BAJAJ-AUTO,Bajaj Auto Ltd,Consumer Discretionary,Generated,2,328.33,3.07
BAJAJFINSV,Bajaj Finserv Ltd,Banking,Generated,2,336.78,3.29
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Banking,Generated,2,309.87,2.99
BAJFINANCE,Bajaj Finance Ltd,Banking,Generated,2,336.16,3.97
BANKBARODA,Bank of Baroda,Banking,Generated,2,335.8,7.69
BEL,Bharat Electronics Ltd,Industrials,Generated,2,340.22,7.31
BHARTIARTL,Bharti Airtel Ltd,Communication Services,Generated,2,326.55,7.24
BHEL,"Bharat Heavy Electricals Limited
",Industrials,Generated,2,328.89,7.13
BOSCHLTD,Bosch Ltd,Consumer Discretionary,Generated,2,329.4,7.01
BPCL,Bharat Petroleum Corporation Ltd,Energy,Generated,2,352.17,7.17
BRITANNIA,Britannia Industries Ltd,Consumer Staples,Generated,2,339.03,6.86
CANBK,Canara Bank,Banking,Generated,2,329.4,7.12
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Banking,Generated,2,317.57,7.08
CIPLA,"Cipla Ltd
",Healthcare,Generated,2,318.94,6.98
COALINDIA,Coal India Ltd,Materials,Generated,2,334.48,7.36
DABUR,Dabur India Ltd,Consumer Staples,Generated,2,337.78,7.22
DIVISLAB,Divis Laboratories Ltd,Healthcare,Generated,2,346.02,3.93
DLF,DLF Ltd,Real Estate,Generated,2,335.94,2.94
DMART,Avenue Supermarts Ltd,Consumer Discretionary,Generated,2,335.23,2.94
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,Generated,2,335.51,2.87
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,Generated,2,333.23,2.92
GAIL,GAIL (India) Ltd,Energy,Generated,2,353.74,3.11
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,Generated,2,333.56,2.74
GRASIM,Grasim Industries Ltd,Industrials,Generated,2,340.91,3.08
HAL,Hindustan Aeronautics Ltd,Industrials,Generated,2,350.85,2.96
HAVELLS,Havells India Ltd,Industrials,Generated,2,334.45,3.16
HCLTECH,HCL Technologies Ltd,IT Services,Generated,2,333.96,3.08
HDFCBANK,HDFC Bank Ltd,Banking,Generated,2,325.58,2.62
HDFCLIFE,HDFC Life Insurance Company Ltd,Banking,Generated,2,323.15,2.68
HEROMOTOCO,"Hero MotoCorp Ltd
",Consumer Discretionary,Generated,2,323.56,2.68
HINDALCO,Hindalco Industries Ltd,Materials,Generated,2,338.55,3.04
HINDUNILVR,"Hindustan Unilever Ltd
",Consumer Staples,Generated,2,315.78,3.03
ICICIBANK,ICICI Bank Ltd,Banking,Generated,2,335.52,2.9
ICICIGI,ICICI Lombard General Insurance Company Ltd,Banking,Generated,2,313.02,2.7
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Banking,Generated,2,326.7,2.89
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,Generated,2,344.68,2.9
INDUSINDBK,IndusInd Bank Ltd,Banking,Generated,2,329.57,2.61
INFY,Infosys Ltd,IT Services,Generated,2,336.94,2.72
IOC,"Indian Oil Corporation
",Energy,Generated,2,345.88,2.9
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Consumer Discretionary,Generated,2,344.04,3.06
IRFC,Indian Railway Finance Corporation Ltd,Banking,Generated,2,328.31,3.08
ITC,"ITC Ltd
",Consumer Staples,Generated,2,328.93,2.8
JINDALSTEL,Jindal Steel & Power Ltd,Materials,Generated,2,335.31,2.93
JIOFIN,Jio Financial Services Ltd,Banking,Skipped,0,0.0,0.0
JSWENERGY,JSW Energy Ltd,Utilities,Generated,2,334.58,2.81
JSWSTEEL,JSW Steel Ltd,Materials,Generated,2,338.31,2.82
KOTAKBANK,"Kotak Mahindra Bank Ltd
",Banking,Generated,2,329.43,2.85
LICI,Life Insurance Corporation of India,Banking,Generated,2,285.15,2.31
LODHA,Macrotech Developers Ltd,Real Estate,Generated,2,337.41,2.78
LT,Larsen & Toubro Ltd,Industrials,Generated,2,333.65,2.87
LTIM,LTIMindtree Ltd,IT Services,Generated,2,335.55,2.72
M&M,"Mahindra & Mahindra Ltd
",Consumer Discretionary,Generated,2,342.34,2.77
MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,Generated,2,343.26,2.76
MOTHERSON,Samvardhana Motherson International Ltd,Consumer Discretionary,Generated,2,338.03,2.58
NAUKRI,Info Edge (India) Ltd,Communication Services,Generated,2,328.89,2.94
NESTLEIND,Nestle India Ltd,Consumer Staples,Generated,2,331.67,2.86
NHPC,"NHPC Ltd
",Utilities,Generated,2,324.85,2.49
NTPC,NTPC Ltd,Utilities,Generated,2,326.63,2.75
ONGC,Oil & Natural Gas Corpn Ltd,Energy,Generated,2,343.93,3.0
PFC,Power Finance Corporation Ltd,Banking,Generated,2,343.68,2.87
PIDILITIND,Pidilite Industries Ltd,Materials,Generated,2,334.65,2.78
PNB,Punjab National Bank,Banking,Generated,2,313.39,2.77
POWERGRID,Power Grid Corporation of India Ltd,Utilities,Generated,2,335.62,2.72
RECLTD,REC Ltd,Banking,Generated,2,331.98,2.75
