company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,return_on_assets_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score
ABB,Dec 2012,8.77,12.22,22.41,31.22,15.99,0.0,,1.82,42.0,59.0,68.0,308.1,25.0,0.0,101.0,,,,95.71
ABB,Mar 2014,8.7,11.73,25.13,33.88,17.38,0.0,,2.0,11.0,144.0,93.0,375.24,25.0,0.0,155.0,,,,96.86
ABB,Mar 2015,10.0,13.63,24.44,33.3,16.67,0.0,,1.67,28.0,187.0,108.0,446.19,29.0,0.0,215.0,,,,99.14
ABB,Mar 2016,9.76,13.96,21.34,30.54,15.78,0.0,138.33,1.62,172.0,77.0,120.0,569.05,29.0,0.0,249.0,,,,99.71
ABB,Mar 2017,9.54,13.71,19.97,28.7,13.41,0.0,227.5,1.41,152.0,155.0,130.0,660.48,31.0,0.0,307.0,11.92,13.82,13.84,95.71
ABB,Mar 2018,12.16,15.92,23.69,31.01,16.6,0.0,160.5,1.37,-62.0,215.0,189.0,806.19,29.0,0.0,153.0,,,,91.14
ABB,Mar 2019,12.23,16.44,22.41,30.13,15.3,0.0,359.0,1.25,242.0,257.0,212.0,956.19,31.0,0.0,499.0,10.08,17.84,17.92,95.08
ABB,Mar 2020,14.49,18.49,24.39,29.05,16.72,0.07,96.78,1.15,225.0,401.0,279.0,1157.62,90.0,175.0,626.0,12.33,20.96,20.9,97.33
ABB,Mar 2021,16.03,21.39,26.56,33.47,17.99,0.06,55.72,1.12,655.0,72.0,325.0,1239.05,85.0,153.0,727.0,10.52,22.06,22.05,95.52
ABB,Mar 2022,16.26,22.02,28.33,36.41,18.92,0.05,61.32,1.16,552.0,396.0,376.0,1342.86,73.0,152.0,948.0,11.1,23.6,23.67,96.1
ABB,Mar 2023,17.74,22.55,29.77,36.53,20.83,0.04,85.0,1.17,745.0,148.0,447.0,1518.1,73.0,113.0,893.0,10.16,18.8,18.79,94.56
ABB,Mar 2024,20.53,24.84,32.47,38.42,23.13,0.02,141.75,1.13,797.0,416.0,565.0,1761.43,73.0,83.0,1213.0,9.72,21.69,21.66,94.72
ABB,TTM,21.18,25.5,,,,,164.73,,,,605.0,,,,,,,,100.0
ADANIENSOL,Mar 2014,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,10.0,,0.0,0.0,,,,33.33
ADANIENSOL,Mar 2015,-5.34,77.1,-0.65,0.94,-0.06,8.96,1.42,0.01,-1899.0,1864.0,0.0,9.94,0.0,9701.0,-35.0,,,,2.34
ADANIENSOL,Mar 2016,16.77,87.83,13.77,17.12,3.13,3.21,2.09,0.19,728.0,816.0,3.0,24.29,0.0,8585.0,1544.0,,,,60.14
ADANIENSOL,Mar 2017,14.46,68.95,14.12,16.63,3.25,3.05,2.22,0.22,459.0,1730.0,4.0,26.79,0.0,8975.0,2189.0,,,,60.15
ADANIENSOL,Mar 2018,28.98,71.65,18.87,17.14,6.62,1.72,3.31,0.23,-994.0,3192.0,10.0,55.06,0.0,10428.0,2198.0,,,,72.06
ADANIENSOL,Mar 2019,7.65,38.03,6.95,9.86,1.72,2.5,2.24,0.22,-459.0,3050.0,5.0,73.12,0.0,20137.0,2591.0,,,,40.27
ADANIENSOL,Mar 2020,6.18,37.3,8.31,13.0,1.78,2.85,2.02,0.29,-206.0,5643.0,7.0,77.26,0.0,24246.0,5437.0,144.37,,,55.82
ADANIENSOL,Mar 2021,13.0,39.79,14.46,10.97,2.98,3.04,2.39,0.23,-225.0,4009.0,11.0,81.08,0.0,27095.0,3784.0,35.24,28.51,29.67,66.97
ADANIENSOL,Mar 2022,10.98,37.36,12.47,10.56,2.6,3.02,2.32,0.24,161.0,3936.0,11.0,90.12,0.0,29902.0,4097.0,31.38,24.33,22.42,64.5
ADANIENSOL,Mar 2023,9.64,33.99,10.9,9.82,2.38,2.92,2.19,0.25,-922.0,4699.0,11.0,105.37,0.0,34270.0,3777.0,27.51,2.31,1.92,49.35
ADANIENSOL,Mar 2024,7.2,34.39,9.46,11.49,2.04,2.93,2.28,0.28,1095.0,4943.0,10.0,113.37,0.0,37070.0,6038.0,17.85,16.43,14.87,62.37
ADANIENSOL,TTM,2.67,29.83,,,,,1.81,,,,6.0,,,,,,,,9.0
ADANIENT,Mar 2013,2.63,12.98,5.69,6.64,1.09,3.24,2.23,0.41,-7124.0,14790.0,15.0,194.51,10.0,69332.0,7666.0,,,,33.85
ADANIENT,Mar 2014,4.82,17.08,11.14,9.8,2.24,3.03,1.85,0.47,221.0,8007.0,20.0,215.97,7.0,71980.0,8228.0,,,,45.55
ADANIENT,Mar 2015,3.56,19.31,8.93,11.39,1.76,3.25,1.88,0.49,-2933.0,11465.0,18.0,233.89,8.0,83571.0,8532.0,,,,44.71
ADANIENT,Mar 2016,2.94,4.95,7.47,5.17,2.4,1.43,2.01,0.82,3287.0,1825.0,9.0,121.62,4.0,19169.0,5112.0,,,,39.37
ADANIENT,Mar 2017,2.53,5.21,6.54,5.44,1.94,1.47,2.11,0.77,-686.0,1460.0,9.0,128.51,4.0,20846.0,774.0,,,,35.92
ADANIENT,Mar 2018,1.65,5.67,3.94,6.23,1.05,1.17,1.92,0.64,-4707.0,7649.0,7.0,137.17,6.0,17637.0,2942.0,-4.98,-13.38,-14.14,26.73
ADANIENT,Mar 2019,1.25,4.88,3.43,7.57,1.19,0.76,1.52,0.95,5723.0,2487.0,7.0,134.15,6.0,11243.0,3236.0,-5.98,-28.17,-18.94,29.84
ADANIENT,Mar 2020,2.4,5.29,6.14,7.81,2.22,0.73,2.01,0.93,1372.0,1082.0,10.0,154.06,10.0,12419.0,2454.0,-7.61,-14.66,-11.09,33.54
ADANIENT,Mar 2021,2.65,6.34,6.1,7.51,2.03,0.95,2.18,0.77,-4568.0,8611.0,8.0,155.99,12.0,16227.0,4043.0,3.06,0.9,-2.33,35.88
ADANIENT,Mar 2022,1.14,5.35,3.54,5.82,0.78,1.87,1.87,0.68,-15656.0,17041.0,7.0,202.34,14.0,41604.0,1385.0,13.7,-3.16,-4.9,34.89
