Company,Revenue_3Y,Revenue_3Y_Flag,Revenue_5Y,Revenue_5Y_Flag,Revenue_10Y,Revenue_10Y_Flag,PAT_3Y,PAT_3Y_Flag,PAT_5Y,PAT_5Y_Flag,PAT_10Y,PAT_10Y_Flag,EPS_3Y,EPS_3Y_Flag,EPS_5Y,EPS_5Y_Flag,EPS_10Y,EPS_10Y_Flag,Growth_Label
ABB,10.71,VALID,9.72,VALID,9.9,VALID,20.23,VALID,21.69,VALID,19.75,VALID,20.24,VALID,21.66,VALID,19.77,VALID,Moderate
ADANIENSOL,18.72,VALID,17.85,VALID,,ZERO_BASE,-2.49,VALID,16.43,VALID,,ZERO_BASE,-3.13,VALID,14.87,VALID,,ZERO_BASE,Strong Growth
ADANIENT,34.6,VALID,19.02,VALID,5.78,VALID,47.18,VALID,45.81,VALID,2.34,VALID,51.83,VALID,31.95,VALID,3.42,VALID,Strong Growth
ADANIGREEN,43.44,VALID,34.98,VALID,,INSUFFICIENT,90.59,VALID,,TURNAROUND,,INSUFFICIENT,91.29,VALID,,TURNAROUND,,INSUFFICIENT,High Growth
ADANIPORTS,28.63,VALID,19.58,VALID,18.65,VALID,17.08,VALID,14.91,VALID,16.62,VALID,14.98,VALID,14.87,VALID,16.86,VALID,Strong Growth
ADANIPOWER,24.29,VALID,16.09,VALID,12.63,VALID,154.07,VALID,,TURNAROUND,,TURNAROUND,162.07,VALID,,TURNAROUND,,TURNAROUND,Strong Growth
AMBUJACEM,4.61,VALID,4.12,VALID,12.79,VALID,8.48,VALID,11.23,VALID,12.29,VALID,4.55,VALID,7.78,VALID,4.81,VALID,Slow
APOLLOHOSP,21.75,VALID,14.66,VALID,15.9,VALID,89.68,VALID,36.13,VALID,11.49,VALID,84.69,VALID,29.95,VALID,10.6,VALID,Strong Growth
ASIANPAINT,17.8,VALID,13.03,VALID,11.25,VALID,20.12,VALID,20.28,VALID,15.97,VALID,19.98,VALID,20.97,VALID,15.93,VALID,Strong Growth
ATGL,38.18,VALID,21.09,VALID,,INSUFFICIENT,13.0,VALID,23.88,VALID,,INSUFFICIENT,14.47,VALID,24.57,VALID,,INSUFFICIENT,High Growth
AXISBANK,19.97,VALID,14.74,VALID,13.57,VALID,55.69,VALID,39.67,VALID,14.86,VALID,54.41,VALID,35.1,VALID,12.03,VALID,Strong Growth
BAJAJ-AUTO,17.38,VALID,8.13,VALID,8.34,VALID,16.64,VALID,9.36,VALID,8.59,VALID,18.0,VALID,10.18,VALID,8.96,VALID,Moderate
BAJAJFINSV,22.13,VALID,20.97,VALID,33.75,VALID,28.4,VALID,23.75,VALID,21.68,VALID,22.12,VALID,20.59,VALID,17.69,VALID,High Growth
BAJAJHLDNG,55.01,VALID,31.61,VALID,14.94,VALID,26.32,VALID,19.3,VALID,13.99,VALID,25.8,VALID,18.97,VALID,13.82,VALID,High Growth
BAJFINANCE,27.26,VALID,24.35,VALID,,INSUFFICIENT,48.42,VALID,29.32,VALID,,INSUFFICIENT,47.23,VALID,27.56,VALID,,INSUFFICIENT,High Growth
BANKBARODA,16.79,VALID,17.48,VALID,11.33,VALID,126.68,VALID,74.51,VALID,14.12,VALID,128.94,VALID,55.18,VALID,4.58,VALID,Strong Growth
BEL,12.83,VALID,10.75,VALID,12.01,VALID,23.8,VALID,16.13,VALID,15.39,VALID,18.56,VALID,10.76,VALID,17.46,VALID,Strong Growth
BHARTIARTL,14.23,VALID,13.17,VALID,5.74,VALID,,TURNAROUND,38.36,VALID,10.98,VALID,,TURNAROUND,67.03,VALID,10.03,VALID,Strong Growth
