kpi,p10,p25,p50,p75,p90
return_on_equity_pct,8.37,11.67,16.72,26.01,48.28
return_on_capital_employed_pct,3.5,10.67,19.48,33.56,119.91
net_profit_margin_pct,4.62,7.25,14.21,20.35,29.24
operating_profit_margin_pct,9.84,16.01,25.83,40.15,84.04
debt_to_equity,0.01,0.06,0.43,1.59,6.45
interest_coverage,1.61,3.18,11.36,58.09,192.29
free_cash_flow_cr,-14556.0,-1315.0,1095.0,8447.0,20445.0
revenue_cagr_5yr,5.84,8.44,11.84,17.19,21.09
pat_cagr_5yr,4.36,9.86,16.28,23.78,39.28
composite_quality_score,27.62,33.73,43.05,52.04,64.62
