company_id,year,ratio_name,value,status,formula,source_tables,classification,formula_version,timestamp
ABB,Dec 2012,NPM,8.77,VALID,Net Profit / Sales * 100,profitandloss,AVERAGE,1.0,2026-07-19 11:42:19
ABB,Dec 2012,OPM,12.22,VALID,Operating Profit / Sales * 100,profitandloss,AVERAGE,1.0,2026-07-19 11:42:19
ABB,Dec 2012,ROE,22.41,VALID,PAT / (Equity + Reserves) * 100,profitandloss + balancesheet,EXCELLENT,1.0,2026-07-19 11:42:19
ABB,Dec 2012,ROCE,31.22,VALID,EBIT / Capital Employed * 100,profitandloss + balancesheet,EXCELLENT,1.0,2026-07-19 11:42:19
ABB,Dec 2012,ROA,15.99,VALID,PAT / Total Assets * 100,profitandloss + balancesheet,EXCELLENT,1.0,2026-07-19 11:42:19
ABB,Mar 2014,NPM,8.7,VALID,Net Profit / Sales * 100,profitandloss,AVERAGE,1.0,2026-07-19 11:42:19
ABB,Mar 2014,OPM,11.73,VALID,Operating Profit / Sales * 100,profitandloss,AVERAGE,1.0,2026-07-19 11:42:19
ABB,Mar 2014,ROE,25.13,VALID,PAT / (Equity + Reserves) * 100,profitandloss + balancesheet,EXCELLENT,1.0,2026-07-19 11:42:19
ABB,Mar 2014,ROCE,33.88,VALID,EBIT / Capital Employed * 100,profitandloss + balancesheet,EXCELLENT,1.0,2026-07-19 11:42:19
ABB,Mar 2014,ROA,17.38,VALID,PAT / Total Assets * 100,profitandloss + balancesheet,EXCELLENT,1.0,2026-07-19 11:42:19
ABB,Mar 2015,NPM,10.0,VALID,Net Profit / Sales * 100,profitandloss,GOOD,1.0,2026-07-19 11:42:19
ABB,Mar 2015,OPM,13.63,VALID,Operating Profit / Sales * 100,profitandloss,AVERAGE,1.0,2026-07-19 11:42:19
ABB,Mar 2015,ROE,24.44,VALID,PAT / (Equity + Reserves) * 100,profitandloss + balancesheet,EXCELLENT,1.0,2026-07-19 11:42:19
ABB,Mar 2015,ROCE,33.3,VALID,EBIT / Capital Employed * 100,profitandloss + balancesheet,EXCELLENT,1.0,2026-07-19 11:42:19
ABB,Mar 2015,ROA,16.67,VALID,PAT / Total Assets * 100,profitandloss + balancesheet,EXCELLENT,1.0,2026-07-19 11:42:19
ABB,Mar 2016,NPM,9.76,VALID,Net Profit / Sales * 100,profitandloss,AVERAGE,1.0,2026-07-19 11:42:19
ABB,Mar 2016,OPM,13.96,VALID,Operating Profit / Sales * 100,profitandloss,AVERAGE,1.0,2026-07-19 11:42:19
ABB,Mar 2016,ROE,21.34,VALID,PAT / (Equity + Reserves) * 100,profitandloss + balancesheet,EXCELLENT,1.0,2026-07-19 11:42:19
ABB,Mar 2016,ROCE,30.54,VALID,EBIT / Capital Employed * 100,profitandloss + balancesheet,EXCELLENT,1.0,2026-07-19 11:42:19
ABB,Mar 2016,ROA,15.78,VALID,PAT / Total Assets * 100,profitandloss + balancesheet,EXCELLENT,1.0,2026-07-19 11:42:19
ABB,Mar 2017,NPM,9.54,VALID,Net Profit / Sales * 100,profitandloss,AVERAGE,1.0,2026-07-19 11:42:19
ABB,Mar 2017,OPM,13.71,VALID,Operating Profit / Sales * 100,profitandloss,AVERAGE,1.0,2026-07-19 11:42:19
ABB,Mar 2017,ROE,19.97,VALID,PAT / (Equity + Reserves) * 100,profitandloss + balancesheet,GOOD,1.0,2026-07-19 11:42:19
ABB,Mar 2017,ROCE,28.7,VALID,EBIT / Capital Employed * 100,profitandloss + balancesheet,EXCELLENT,1.0,2026-07-19 11:42:19
ABB,Mar 2017,ROA,13.41,VALID,PAT / Total Assets * 100,profitandloss + balancesheet,GOOD,1.0,2026-07-19 11:42:19
ABB,Mar 2018,NPM,12.16,VALID,Net Profit / Sales * 100,profitandloss,GOOD,1.0,2026-07-19 11:42:19
ABB,Mar 2018,OPM,15.92,VALID,Operating Profit / Sales * 100,profitandloss,GOOD,1.0,2026-07-19 11:42:19
ABB,Mar 2018,ROE,23.69,VALID,PAT / (Equity + Reserves) * 100,profitandloss + balancesheet,EXCELLENT,1.0,2026-07-19 11:42:19
ABB,Mar 2018,ROCE,31.01,VALID,EBIT / Capital Employed * 100,profitandloss + balancesheet,EXCELLENT,1.0,2026-07-19 11:42:19
ABB,Mar 2018,ROA,16.6,VALID,PAT / Total Assets * 100,profitandloss + balancesheet,EXCELLENT,1.0,2026-07-19 11:42:19
ABB,Mar 2019,NPM,12.23,VALID,Net Profit / Sales * 100,profitandloss,GOOD,1.0,2026-07-19 11:42:19
ABB,Mar 2019,OPM,16.44,VALID,Operating Profit / Sales * 100,profitandloss,GOOD,1.0,2026-07-19 11:42:19
ABB,Mar 2019,ROE,22.41,VALID,PAT / (Equity + Reserves) * 100,profitandloss + balancesheet,EXCELLENT,1.0,2026-07-19 11:42:19
ABB,Mar 2019,ROCE,30.13,VALID,EBIT / Capital Employed * 100,profitandloss + balancesheet,EXCELLENT,1.0,2026-07-19 11:42:19
ABB,Mar 2019,ROA,15.3,VALID,PAT / Total Assets * 100,profitandloss + balancesheet,EXCELLENT,1.0,2026-07-19 11:42:19
ABB,Mar 2020,NPM,14.49,VALID,Net Profit / Sales * 100,profitandloss,GOOD,1.0,2026-07-19 11:42:19
ABB,Mar 2020,OPM,18.49,VALID,Operating Profit / Sales * 100,profitandloss,GOOD,1.0,2026-07-19 11:42:19
ABB,Mar 2020,ROE,24.39,VALID,PAT / (Equity + Reserves) * 100,profitandloss + balancesheet,EXCELLENT,1.0,2026-07-19 11:42:19
ABB,Mar 2020,ROCE,29.05,VALID,EBIT / Capital Employed * 100,profitandloss + balancesheet,EXCELLENT,1.0,2026-07-19 11:42:19
ABB,Mar 2020,ROA,16.72,VALID,PAT / Total Assets * 100,profitandloss + balancesheet,EXCELLENT,1.0,2026-07-19 11:42:19
ABB,Mar 2021,NPM,16.03,VALID,Net Profit / Sales * 100,profitandloss,EXCELLENT,1.0,2026-07-19 11:42:19
ABB,Mar 2021,OPM,21.39,VALID,Operating Profit / Sales * 100,profitandloss,GOOD,1.0,2026-07-19 11:42:19
ABB,Mar 2021,ROE,26.56,VALID,PAT / (Equity + Reserves) * 100,profitandloss + balancesheet,EXCELLENT,1.0,2026-07-19 11:42:19
ABB,Mar 2021,ROCE,33.47,VALID,EBIT / Capital Employed * 100,profitandloss + balancesheet,EXCELLENT,1.0,2026-07-19 11:42:19
ABB,Mar 2021,ROA,17.99,VALID,PAT / Total Assets * 100,profitandloss + balancesheet,EXCELLENT,1.0,2026-07-19 11:42:19
ABB,Mar 2022,NPM,16.26,VALID,Net Profit / Sales * 100,profitandloss,EXCELLENT,1.0,2026-07-19 11:42:19
ABB,Mar 2022,OPM,22.02,VALID,Operating Profit / Sales * 100,profitandloss,GOOD,1.0,2026-07-19 11:42:19
ABB,Mar 2022,ROE,28.33,VALID,PAT / (Equity + Reserves) * 100,profitandloss + balancesheet,EXCELLENT,1.0,2026-07-19 11:42:19
ABB,Mar 2022,ROCE,36.41,VALID,EBIT / Capital Employed * 100,profitandloss + balancesheet,EXCELLENT,1.0,2026-07-19 11:42:19
ABB,Mar 2022,ROA,18.92,VALID,PAT / Total Assets * 100,profitandloss + balancesheet,EXCELLENT,1.0,2026-07-19 11:42:19
ABB,Mar 2023,NPM,17.74,VALID,Net Profit / Sales * 100,profitandloss,EXCELLENT,1.0,2026-07-19 11:42:19
ABB,Mar 2023,OPM,22.55,VALID,Operating Profit / Sales * 100,profitandloss,GOOD,1.0,2026-07-19 11:42:19
ABB,Mar 2023,ROE,29.77,VALID,PAT / (Equity + Reserves) * 100,profitandloss + balancesheet,EXCELLENT,1.0,2026-07-19 11:42:19
ABB,Mar 2023,ROCE,36.53,VALID,EBIT / Capital Employed * 100,profitandloss + balancesheet,EXCELLENT,1.0,2026-07-19 11:42:19
ABB,Mar 2023,ROA,20.83,VALID,PAT / Total Assets * 100,profitandloss + balancesheet,EXCELLENT,1.0,2026-07-19 11:42:19
ABB,Mar 2024,NPM,20.53,VALID,Net Profit / Sales * 100,profitandloss,EXCELLENT,1.0,2026-07-19 11:42:19
ABB,Mar 2024,OPM,24.84,VALID,Operating Profit / Sales * 100,profitandloss,GOOD,1.0,2026-07-19 11:42:19
ABB,Mar 2024,ROE,32.47,VALID,PAT / (Equity + Reserves) * 100,profitandloss + balancesheet,EXCELLENT,1.0,2026-07-19 11:42:19
ABB,Mar 2024,ROCE,38.42,VALID,EBIT / Capital Employed * 100,profitandloss + balancesheet,EXCELLENT,1.0,2026-07-19 11:42:19
ABB,Mar 2024,ROA,23.13,VALID,PAT / Total Assets * 100,profitandloss + balancesheet,EXCELLENT,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2014,NPM,,NON_POSITIVE_SALES,Net Profit / Sales * 100,profitandloss,N/A,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2014,OPM,,NON_POSITIVE_SALES,Operating Profit / Sales * 100,profitandloss,N/A,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2014,ROE,0.0,VALID,PAT / (Equity + Reserves) * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2014,ROCE,0.0,VALID,EBIT / Capital Employed * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2014,ROA,,NON_POSITIVE_ASSETS,PAT / Total Assets * 100,profitandloss + balancesheet,N/A,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2015,NPM,-5.34,VALID,Net Profit / Sales * 100,profitandloss,WEAK,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2015,OPM,77.1,VALID,Operating Profit / Sales * 100,profitandloss,EXCELLENT,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2015,ROE,-0.65,VALID,PAT / (Equity + Reserves) * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2015,ROCE,0.94,VALID,EBIT / Capital Employed * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2015,ROA,-0.06,VALID,PAT / Total Assets * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2016,NPM,16.77,VALID,Net Profit / Sales * 100,profitandloss,EXCELLENT,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2016,OPM,87.83,VALID,Operating Profit / Sales * 100,profitandloss,EXCELLENT,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2016,ROE,13.77,VALID,PAT / (Equity + Reserves) * 100,profitandloss + balancesheet,AVERAGE,1.0,2026-07-19 11:42:19
